"","interaction_ID","N10.A_Healthy","N11.B_Healthy","N15.A_Healthy","N16.A_Healthy","N17.A_Healthy","N18.A_Healthy","N20.A_Healthy","N21.A_Healthy","N51.A_Healthy","N46.A_Healthy","N9.B_Inflamed","N12.B_Inflamed","N14.B_Inflamed","N19.B_Inflamed","N24.B_Inflamed","N52.B1a_Inflamed","N111.B1_Inflamed","N44.B_Inflamed","N49.B_Inflamed","N50.B_Inflamed","N106.B_Inflamed","N539.B_Inflamed"
"1","Epithelial:APP_Epithelial:APLP2",0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,0.0138168259764109,NA,0.0138168259764109,0.0138168259764109,0.0138168259764109
"2","Epithelial:APP_Epithelial:CD74",3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,3.53416369733627,NA,3.53416369733627,3.53416369733627,3.53416369733627
"3","Epithelial:APP_Epithelial:LRP1",0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,NA,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,NA,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,0.312463145770373,NA,NA,0.312463145770373,0.312463145770373
"4","Epithelial:APP_Epithelial:LRP10",0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,NA,0.118082747361041,0.118082747361041,0.118082747361041
"5","Epithelial:APP_Epithelial:NCSTN",4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,4.02541620003748,NA,4.02541620003748,4.02541620003748,4.02541620003748
"6","Epithelial:APP_Epithelial:RPSA",0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,0.0349043572866673,NA,0.0349043572866673,0.0349043572866673,0.0349043572866673
"7","Epithelial:APP_Epithelial:TSPAN15",0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,NA,0.0698596518136343,0.0698596518136343,0.0698596518136343
"8","Epithelial:ARF6_Epithelial:SMAP1",0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,NA,0.118082747361041,0.118082747361041,0.118082747361041,0.118082747361041,NA,NA,NA,NA,NA,NA,NA,0.118082747361041,NA,NA,NA,NA
"9","Epithelial:CA2_Epithelial:AQP1",0.119466594315196,NA,NA,NA,NA,0.119466594315196,NA,NA,NA,NA,0.119466594315196,NA,0.119466594315196,0.119466594315196,NA,NA,0.119466594315196,NA,NA,NA,NA,NA
"10","Epithelial:CD320_Epithelial:TMEM167A",0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519
