Gene;OverallAverageExpression;case_avg;control_avg
AC004540.5;4,03557704916523e-03;0,004510272328195358;3,32352779069857e-03
AC004791.2;2,01180934337690e-03;0,002861141052082238;7,37800436839075e-04
AC004951.6;3,57939786021117e-02;0,035085995577847598;3,68559625941669e-02
AC005076.5;7,59513841710999e-03;0,006663356262654745;8,99282409346197e-03
AC005083.1;1,84013383017192e-02;0,019296698240827862;1,70582864348339e-02
AC005154.6;2,77006838760708e-02;0,027296321491091055;2,83072328541119e-02
AC005355.2;1,61728969766902e-02;0,013187543876803570;2,06509664982127e-02
AC005540.3;5,95708432428097e-03;0,007723998806441026;3,30668900253564e-03
AC005562.1;1,86812895427573e-02;0,019149646724887826;1,79787475142902e-02
AC006129.2;1,71224297134610e-02;0,018240669347825537;1,54450553269616e-02
AC006129.4;3,81011782289134e-02;0,041643182456054487;3,27881245820043e-02
AC006132.1;9,92373837535844e-03;0,010756136409743107;8,67513020646390e-03
AC007228.9;6,56487534009149e-03;0,006231990577604706;7,06420692975434e-03
AC007246.3;3,35105514136839e-02;0,029478347681559113;3,95589108650607e-02
AC007390.5;7,20990941793815e-02;0,074410288667623059;6,86322715792348e-02
AC008982.2;7,81115718505410e-03;0,009309764516726288;5,56322617248943e-03
AC009005.2;9,20786232236383e-03;0,007519547914938004;1,17403564822432e-02
AC009014.3;1,87961073556959e-02;0,013366521546768191;2,69405585853924e-02
AC009133.12;2,12226440304990e-02;0,018438373009435977;2,53990877481798e-02
AC009133.14;2,33214002430315e-02;0,018685851040432945;3,02747859582630e-02
AC009133.21;5,55337676926040e-03;0,002955247481703149;9,45060540061614e-03
AC009336.24;8,77190418579927e-03;0,007279967783619297;1,10098287150302e-02
AC009403.2;2,78339670803492e-02;0,029860733327497911;2,47937906406002e-02
AC009404.2;3,71528178055838e-02;0,036954543257405381;3,74502322759610e-02
AC009501.4;3,11796543304314e-01;0,172624985055058577;5,20555739421664e-01
AC009506.1;8,22627599724693e-03;0,007034216654309491;1,00143809325247e-02
AC009948.5;5,76745561132801e-03;0,005941251997764672;5,50675871048829e-03
AC009961.3;4,53920214952042e-03;0,004804611558401262;4,14108449145187e-03
AC010226.4;1,77559212237764e-02;0,017068666526360382;1,87868124487168e-02
AC010761.8;4,51259693546512e-03;0,003143253015720599;6,56663110372576e-03
AC011043.1;7,49445358892426e-03;0,007162547655270810;7,99231692226408e-03
AC011523.2;4,63111225543899e-03;0,003013204317152908;7,05799577127609e-03
AC011526.1;1,83989643869103e-02;0,023748707868619278;1,03742777143978e-02
AC011747.4;4,70778995414322e-03;0,005025508314304898;4,23120817052703e-03
AC012146.7;4,65384395190132e-02;0,051390620932494462;3,92601025941673e-02
AC012307.3;4,69056733068729e-03;0,004380621227379539;5,15549062521810e-03
AC013264.2;5,14456162521334e-03;0,005898045800025462;4,01432529963304e-03
AC013394.2;1,05828487807577e-01;0,130221036397828949;6,92393391409063e-02
AC013449.1;5,48434899971744e-03;0,007339245091278491;2,70198008880839e-03
AC016586.1;1,03992429392400e-02;0,010304014421834040;1,05420869871993e-02
AC016629.8;1,73807987472882e-02;0,018883961106460560;1,51260351326374e-02
AC016683.6;2,68771321372488e-02;0,021966785972383385;3,42427169660060e-02
AC016747.3;9,47110479255090e-03;0,010541498254334860;7,86550030394498e-03
AC016831.7;3,96271537628586e-02;0,051862644547880893;2,12737541709117e-02
AC017002.1;1,66805199017995e-02;0,020482552081170707;1,09774208536714e-02
AC017048.3;2,11246081300507e-02;0,017680364941282483;2,62910189137263e-02
AC018737.1;1,98008401324951e-02;0,019068514585554835;2,08993382336778e-02
AC018816.3;6,72255993975632e-03;0,006304647623990190;7,34943399494671e-03
AC020571.3;1,60516998440340e-02;0,020136726369035463;9,92410549785290e-03
AC021016.6;7,23473626759427e-03;0,008801464125302395;4,88462355617356e-03
AC022182.3;8,74453400298217e-03;0,011005719462579756;5,35272561371054e-03
AC023590.1;1,78692206835046e-02;0,022256386860840759;1,12884128235134e-02
AC025335.1;4,33453223036739e-03;0,004743578093364076;3,72095797274948e-03
