id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1706,ENSG00000183853,KIRREL1,KIRREL1,1869
1707,ENSG00000149571,KIRREL3,KIRREL3,1709
1708,ENSG00000170498,KISS1,KISS1,1465
1709,ENSG00000116014,KISS1R,KISS1R,1839
1710,ENSG00000157404,KIT,KIT,575
1711,ENSG00000049130,KITLG,KITLG,770
1712,ENSG00000133116,KL,KL,2166
1713,ENSG00000134962,KLB,KLB,1676
1714,ENSG00000142515,KLK3,KLK3,468
1715,ENSG00000111796,KLRB1,KLRB1,1348
1716,ENSG00000134545,KLRC1,KLRC1,855
1717,ENSG00000205809,KLRC2,KLRC2,856
1718,ENSG00000205810,KLRC3,KLRC3,1320
1719,ENSG00000134539,KLRD1,KLRD1,1360
1720,ENSG00000150045,KLRF1,KLRF1,2124
1721,ENSG00000256797,KLRF2,KLRF2,14
1722,ENSG00000139187,KLRG1,KLRG1,1857
1723,ENSG00000188883,KLRG2,KLRG2,2
1724,ENSG00000213809,KLRK1,KLRK1,857
1725,ENSG00000005483,KMT2E,KMT2E,1701
1726,ENSG00000113889,KNG1,KNG1,297
1727,ENSG00000183762,KREMEN1,KREMEN1,1882
1728,ENSG00000131650,KREMEN2,KREMEN2,1749
1729,ENSG00000263236,KRTAP4-12,KRTAP4-12,1940
1730,ENSG00000213416,KRTAP4-12,KRTAP4-12,1940
1731,ENSG00000198910,L1CAM,L1CAM,939
1732,ENSG00000135413,LACRT,LACRT,1983
1733,ENSG00000089692,LAG3,LAG3,719
1734,ENSG00000167613,LAIR1,LAIR1,1561
1735,ENSG00000276053,LAIR1,LAIR1,1561
1736,ENSG00000278154,LAIR1,LAIR1,1561
1737,ENSG00000276163,LAIR1,LAIR1,1561
1738,ENSG00000274110,LAIR1,LAIR1,1561
1739,ENSG00000277335,LAIR2,LAIR2,1564
1740,ENSG00000167618,LAIR2,LAIR2,1564
1741,ENSG00000275819,LAIR2,LAIR2,1564
1742,ENSG00000274084,LAIR2,LAIR2,1564
1743,ENSG00000101680,LAMA1,LAMA1,844
1744,ENSG00000196569,LAMA2,LAMA2,819
1745,ENSG00000053747,LAMA3,LAMA3,1502
1746,ENSG00000112769,LAMA4,LAMA4,1482
1747,ENSG00000130702,LAMA5,LAMA5,86
1748,ENSG00000091136,LAMB1,LAMB1,482
1749,ENSG00000172037,LAMB2,LAMB2,1175
1750,ENSG00000196878,LAMB3,LAMB3,1396
1751,ENSG00000135862,LAMC1,LAMC1,584
1752,ENSG00000058085,LAMC2,LAMC2,1397
1753,ENSG00000050555,LAMC3,LAMC3,2285
1754,ENSG00000185896,LAMP1,LAMP1,593
1755,ENSG00000005893,LAMP2,LAMP2,625
1756,ENSG00000213658,LAT,LAT,121
1757,ENSG00000204381,LAYN,LAYN,1594
1758,ENSG00000182866,LCK,LCK,447
1759,ENSG00000160349,LCN1,LCN1,932
1760,ENSG00000148346,LCN2,LCN2,1243
1761,ENSG00000188501,LCTL,LCTL,1588
1762,ENSG00000130164,LDLR,LDLR,300
1763,ENSG00000164406,LEAP2,LEAP2,1836
1764,ENSG00000243709,LEFTY1,LEFTY1,194
1765,ENSG00000143768,LEFTY2,LEFTY2,31
1766,ENSG00000174697,LEP,LEP,1031
1767,ENSG00000116678,LEPR,LEPR,1093
1768,ENSG00000100097,LGALS1,LGALS1,525
1769,ENSG00000131981,LGALS3,LGALS3,706
1770,ENSG00000108679,LGALS3BP,LGALS3BP,1326
1771,ENSG00000116977,LGALS8,LGALS8,22
1772,ENSG00000168961,LGALS9,LGALS9,20
1773,ENSG00000108231,LGI1,LGI1,266
1774,ENSG00000153012,LGI2,LGI2,1711
1775,ENSG00000168481,LGI3,LGI3,1719
1776,ENSG00000153902,LGI4,LGI4,1718
1777,ENSG00000205213,LGR4,LGR4,1952
1778,ENSG00000139292,LGR5,LGR5,186
1779,ENSG00000133067,LGR6,LGR6,2033
1780,ENSG00000104826,LHB,LHB,315
