"gene_symbol"	"is_in_LR_database"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"DFFB"	FALSE	FALSE	FALSE	2.23697183800805	0.25	TRUE
"C1orf174"	FALSE	FALSE	FALSE	12.0838452005906	0.25	TRUE
"NPHP4"	FALSE	FALSE	FALSE	0.754634302403602	0.25	TRUE
"KCNAB2"	FALSE	FALSE	FALSE	24.1563605430871	0.25	TRUE
"RPL22"	FALSE	FALSE	FALSE	284.997162914043	0.25	TRUE
"RNF207"	FALSE	FALSE	FALSE	0.319760045941667	0.25	TRUE
"ICMT"	FALSE	FALSE	FALSE	5.35539312078181	0.25	TRUE
"GPR153"	FALSE	FALSE	FALSE	0.542630617871673	0.25	TRUE
"ACOT7"	FALSE	FALSE	FALSE	5.50836151657192	0.25	TRUE
"AL031848.2"	FALSE	FALSE	FALSE	0.659754067646943	0.25	TRUE
"ESPN"	FALSE	FALSE	FALSE	1.13369483454854	0.25	TRUE
"TNFRSF25"	TRUE	FALSE	TRUE	4.9827627336271	0.25	TRUE
"NOL9"	FALSE	FALSE	FALSE	10.8600159512489	0.25	TRUE
"ZBTB48"	FALSE	FALSE	FALSE	4.45215666497446	0.25	TRUE
"KLHL21"	FALSE	FALSE	FALSE	4.22620530951625	0.25	TRUE
"PHF13"	FALSE	FALSE	FALSE	2.51477435892401	0.25	TRUE
"THAP3"	FALSE	FALSE	FALSE	4.43625053621334	0.25	TRUE
"DNAJC11"	FALSE	FALSE	FALSE	5.1032674419614	0.25	TRUE
"CAMTA1"	FALSE	FALSE	FALSE	32.194605684503	0.25	TRUE
"VAMP3"	FALSE	FALSE	FALSE	20.1648287552107	0.25	TRUE
"PER3"	FALSE	FALSE	FALSE	1.79968463814346	0.25	TRUE
"UTS2"	TRUE	TRUE	FALSE	1.23951565467847	0.25	TRUE
"TNFRSF9"	TRUE	FALSE	TRUE	1.25928637896722	0.25	TRUE
"PARK7"	FALSE	FALSE	FALSE	86.6644512243246	0.25	TRUE
"ERRFI1"	FALSE	FALSE	FALSE	0.369599863591177	0.25	TRUE
"RERE"	FALSE	FALSE	FALSE	23.1798315688144	0.25	TRUE
"ENO1"	TRUE	FALSE	TRUE	108.58937762027	0.25	TRUE
"ENO1-AS1"	FALSE	FALSE	FALSE	0.488365363429533	0.25	TRUE
"SLC2A5"	FALSE	FALSE	FALSE	2.18353354135912	0.25	TRUE
"GPR157"	FALSE	FALSE	FALSE	1.2938021893192	0.25	TRUE
"MIR34AHG"	FALSE	FALSE	FALSE	0.267217753381125	0.25	TRUE
"H6PD"	FALSE	FALSE	FALSE	4.66294148436095	0.25	TRUE
"SPSB1"	FALSE	FALSE	FALSE	0.545677068598866	0.25	TRUE
"SLC25A33"	FALSE	FALSE	FALSE	13.5487809156292	0.25	TRUE
"TMEM201"	FALSE	FALSE	FALSE	2.22675191431655	0.25	TRUE
"PIK3CD"	FALSE	FALSE	FALSE	9.52826327788543	0.25	TRUE
"PIK3CD-AS1"	TRUE	TRUE	FALSE	0.330807358917749	0.25	TRUE
"PIK3CD-AS2"	FALSE	FALSE	FALSE	0.791439718581694	0.25	TRUE
"CLSTN1"	FALSE	FALSE	FALSE	10.6285804615079	0.25	TRUE
"CTNNBIP1"	FALSE	FALSE	FALSE	10.9165832998639	0.25	TRUE
"LZIC"	FALSE	FALSE	FALSE	17.6750001087212	0.25	TRUE
"NMNAT1"	FALSE	FALSE	FALSE	1.9171083626297	0.25	TRUE
"RBP7"	FALSE	FALSE	FALSE	6.96099795354671	0.25	TRUE
"UBE4B"	FALSE	FALSE	FALSE	8.91839872837286	0.25	TRUE
"KIF1B"	FALSE	FALSE	FALSE	11.5004949096756	0.25	TRUE
"AL139424.3"	FALSE	FALSE	FALSE	0.306192925069891	0.25	TRUE
"PGD"	FALSE	FALSE	FALSE	33.2033490766535	0.25	TRUE
"CENPS"	FALSE	FALSE	FALSE	5.50611054668239	0.25	TRUE
"CORT"	TRUE	TRUE	FALSE	0.46176904782111	0.25	TRUE
"DFFA"	FALSE	FALSE	FALSE	11.2643269806454	0.25	TRUE
"PEX14"	FALSE	FALSE	FALSE	3.19867230160279	0.25	TRUE
"CASZ1"	FALSE	FALSE	FALSE	5.03740732797506	0.25	TRUE
"TARDBP"	FALSE	FALSE	FALSE	29.4477278209228	0.25	TRUE
"AL109811.2"	FALSE	FALSE	FALSE	6.04824535651627	0.25	TRUE
"SRM"	FALSE	FALSE	FALSE	31.8774812279445	0.25	TRUE
"EXOSC10"	FALSE	FALSE	FALSE	13.4480831701098	0.25	TRUE
"AL109811.1"	FALSE	FALSE	FALSE	0.396088800802451	0.25	TRUE
"EXOSC10-AS1"	FALSE	FALSE	FALSE	0.397185347100595	0.25	TRUE
"MTOR"	FALSE	FALSE	FALSE	7.07256911844838	0.25	TRUE
"UBIAD1"	FALSE	FALSE	FALSE	5.13611074434769	0.25	TRUE
"FBXO2"	FALSE	FALSE	FALSE	0.953302383259642	0.25	TRUE
"FBXO44"	FALSE	FALSE	FALSE	2.84796702343205	0.25	TRUE
"FBXO6"	FALSE	FALSE	FALSE	5.41978605799704	0.25	TRUE
"MAD2L2"	FALSE	FALSE	FALSE	15.5097627400573	0.25	TRUE
"DRAXIN"	TRUE	TRUE	FALSE	0.564174409818779	0.25	TRUE
"AGTRAP"	TRUE	TRUE	FALSE	30.5603942207483	0.25	TRUE
"MTHFR"	FALSE	FALSE	FALSE	12.7982289030683	0.25	TRUE
"CLCN6"	FALSE	FALSE	FALSE	3.99243950214781	0.25	TRUE
"AL021155.5"	FALSE	FALSE	FALSE	19.4607577700598	0.25	TRUE
"KIAA2013"	FALSE	FALSE	FALSE	11.3035955748126	0.25	TRUE
"PLOD1"	FALSE	FALSE	FALSE	4.82450108179409	0.25	TRUE
"MFN2"	FALSE	FALSE	FALSE	6.53946364966056	0.25	TRUE
"MIIP"	FALSE	FALSE	FALSE	10.9394408198067	0.25	TRUE
"TNFRSF8"	TRUE	TRUE	TRUE	0.354809876131319	0.25	TRUE
"TNFRSF1B"	TRUE	FALSE	TRUE	38.1141271412857	0.25	TRUE
"VPS13D"	FALSE	FALSE	FALSE	10.2888797204114	0.25	TRUE
"DHRS3"	FALSE	FALSE	FALSE	8.81168214027166	0.25	TRUE
"PRDM2"	FALSE	FALSE	FALSE	53.2393067259565	0.25	TRUE
