Gene;OverallAverageExpression;case_avg;control_avg
ABTB2;2,40041571729075e-03;5,91258980135822e-03;1,73385005544998e-03
ACAA1;8,93879030913786e-02;1,09125398956283e-01;8,56419791481573e-02
ACAA2;7,92891020593570e-02;1,13293079497971e-01;7,28355826198140e-02
ACACA;1,26892337625521e-02;2,12186104188422e-02;1,10704673062479e-02
ACACB;7,35539740193417e-03;7,90909428987172e-03;7,25031282362652e-03
ACAD10;1,22524659494969e-02;1,60197503807860e-02;1,15374836108719e-02
ACAD11;3,13999876569672e-03;1,22534578362191e-02;1,41038094733209e-03
ACAD8;2,08990280403178e-02;2,24434932401185e-02;2,06059083248785e-02
ACAD9;2,23199535688730e-02;3,56082123033325e-02;1,97980122396470e-02
ACADM;1,05352301951488e-01;1,66401037529142e-01;9,37660337709161e-02
ACADS;4,24886711204147e-02;5,04731139409389e-02;4,09733261273416e-02
ACADSB;2,48689059806810e-02;3,20342762485063e-02;2,35090104685042e-02
ACADVL;1,65907208372337e-01;2,13438105428007e-01;1,56886452824506e-01
ACAP1;2,69918737428291e-01;1,19023461020367e-01;2,98556728421895e-01
ACAP2;1,46799774920215e-01;2,86562053827183e-01;1,20274684275475e-01
ACAP3;3,37293104990878e-02;3,43441426968143e-02;3,36126232219229e-02
ACAT1;1,23671806248577e-01;1,57087697828431e-01;1,17329897973595e-01
ACAT2;5,07026504546694e-02;3,70588070283251e-02;5,32920772045532e-02
ACBD3;3,69186985993087e-02;5,84541294690426e-02;3,28315496177622e-02
ACBD4;7,72247222295570e-03;9,07906150496604e-03;7,46500895064487e-03
ACBD5;3,31580892541912e-02;6,34813261064411e-02;2,74031272398464e-02
ACBD6;7,17370574611573e-02;1,15538113999487e-01;6,34241778766167e-02
ACBD7;1,16575228393370e-03;3,92681329201065e-03;6,41738264645638e-04
ACCS;9,65398392373477e-03;2,82011571327671e-02;6,13396797650800e-03
ACD;3,29179452607011e-02;2,54499793505706e-02;3,43352695505397e-02
ACER3;3,45584557052719e-02;5,55832573830735e-02;3,05682176048858e-02
ACHE;2,58713285750180e-02;1,19140765015530e-02;2,85202362723988e-02
ACIN1;1,10579415312454e-01;2,33204403349920e-01;8,73067630028203e-02
ACKR1;1,42101473039737e-02;4,80664605342440e-03;1,59948114136279e-02
ACKR2;1,85000754425499e-03;2,46336768396608e-03;1,73359964484934e-03
ACLY;5,13823109407121e-02;8,23287267923233e-02;4,55090775331471e-02
ACO1;1,66615423167321e-02;2,30308108720602e-02;1,54527367141615e-02
ACO2;5,81181091924182e-02;3,84283181027390e-02;6,18549793802419e-02
ACOT11;1,03651431004682e-03;2,18471086289352e-03;8,18601308910730e-04
ACOT13;3,75692726782718e-02;7,76352197305822e-02;2,99652690397985e-02
ACOT2;1,44751398401145e-02;1,94696897667392e-02;1,35272382276803e-02
ACOT4;5,13005255531702e-03;7,89945726133863e-03;4,60445500901419e-03
ACOT7;2,21541693196273e-02;2,33855711045179e-02;2,19204650310326e-02
ACOT8;3,77039533839595e-02;3,96693589996159e-02;3,73309445684430e-02
ACOT9;4,50642801872187e-02;7,10044376366479e-02;4,01411705108020e-02
ACOX1;2,24942224556286e-02;5,58371689355989e-02;1,61661582264195e-02
ACOX3;1,45182055190988e-02;1,88453337047317e-02;1,36969720056432e-02
ACP1;2,62637519873695e-01;2,50395786277238e-01;2,64960844134248e-01
ACP2;1,28091228331510e-02;1,87224470474729e-02;1,16868496273668e-02
ACP5;2,56413163428745e-02;2,41846278260757e-02;2,59177771680086e-02
ACP6;1,36923503047711e-02;1,77950961974276e-02;1,29137016769286e-02
ACPP;8,51198438906925e-03;2,38908152366136e-02;5,59327924608302e-03
ACRBP;6,82999365791492e-03;1,15696624444975e-02;5,93046522167760e-03
ACSBG1;3,02666284247048e-03;1,16577347225173e-03;3,37983581310974e-03
ACSF2;6,39061289368631e-03;1,54054413176521e-02;4,67971390890628e-03
ACSF3;3,48395584365290e-02;4,03720369432185e-02;3,37895648686815e-02
ACSL1;3,69372293645274e-02;5,90663082735809e-02;3,27374135877828e-02
ACSL3;4,99583750170192e-02;6,15307433851904e-02;4,77620877044433e-02
ACSL4;5,16825168823763e-02;1,25679927325542e-01;3,76387560419599e-02
ACSL5;3,41574228232135e-02;5,22654307921568e-02;3,07207548143037e-02
ACSL6;3,89815566793696e-02;1,55913700217141e-02;4,34207145561863e-02
ACSM3;1,87989405026908e-02;1,84012335028371e-02;1,88744201979539e-02
ACSS1;5,12112275557772e-02;5,28484457730276e-02;5,09005045054848e-02
ACSS2;1,98299457879551e-02;3,14056117838954e-02;1,76330326278603e-02
ACTA2;1,58508727050115e-02;3,42922160499620e-02;1,23509419106574e-02
ACTB;2,50901644732540e+00;2,42581511016559e+00;2,52480699558482e+00
ACTG1;1,15308581481626e+00;1,43506976662184e+00;1,09956887204385e+00
ACTG2;3,71401749571480e-03;1,38881806685032e-02;1,78309162284584e-03
ACTL6A;5,75392870159339e-02;7,48470920638951e-02;5,42544872734780e-02
ACTN1;7,28513581127682e-02;8,92074729377002e-02;6,97471769866441e-02
ACTN4;9,34066518938508e-02;1,35118495311021e-01;8,54902782038072e-02
ACTR10;8,14772638329654e-02;8,55807642954812e-02;8,06984719974271e-02
ACTR1A;5,48064817363727e-02;7,15245659150206e-02;5,16336034625417e-02
ACTR1B;6,82889672277593e-02;6,62701474357510e-02;6,86721133698887e-02
ACTR2;3,97290263799730e-01;7,15640168276204e-01;3,36871528937774e-01
ACTR3;3,24709005745425e-01;4,05175665086745e-01;3,09437464313786e-01
ACTR3B;5,56434612194227e-03;4,25793947890041e-03;5,81228537205025e-03
ACTR3C;7,12812016040169e-03;1,32187312347947e-02;5,97220017903339e-03
ACTR5;1,69285907206099e-02;2,40657925103291e-02;1,55740412248327e-02
ACTR6;5,88488940123336e-02;8,94962797157817e-02;5,30324126973044e-02
ACTR8;1,59589979997435e-02;2,99106417017669e-02;1,33111546994377e-02
ACVR1;1,05473026022116e-02;1,25305564536806e-02;1,01709064201147e-02
ACVR1B;9,42427951437041e-03;1,83067688535717e-02;7,73849679305339e-03
ACVR2A;6,67976391798374e-03;7,70816283055016e-03;6,48458697476193e-03
ACVR2B;2,16469317574682e-03;5,87934210260238e-03;1,45970038177686e-03
ACY1;4,55478828565696e-03;1,74468271102566e-02;2,10804442105782e-03
ACY3;1,53180681328633e-02;5,61891717113745e-02;7,56125609710496e-03
ACYP1;6,77305396020432e-02;6,10418236169276e-02;6,89999722357241e-02
ACYP2;5,28166928543862e-02;5,24818780574499e-02;5,28802364149763e-02
ADA;6,73363287992325e-02;7,43471150624948e-02;6,60057713514127e-02
ADAL;2,44953892181825e-02;2,61744423903348e-02;2,41767264292169e-02
ADAM10;1,03770224973282e-01;1,78292804763659e-01;8,96267937164442e-02
ADAM15;4,08684766037284e-02;6,01681419937393e-02;3,72056472774840e-02
ADAM17;6,93112139834477e-02;1,13844273350310e-01;6,08594096365830e-02
ADAM19;1,58219419752961e-02;1,13816315170033e-02;1,66646560346125e-02
ADAM22;4,97478004210871e-03;7,81745647762259e-03;4,43527645991638e-03
ADAM28;6,99517934807249e-02;1,23912374709679e-01;5,97107662197597e-02
ADAM8;4,41623369234149e-02;5,20926213582834e-02;4,26572704983498e-02
ADAM9;1,25685393287850e-02;2,24484641123572e-02;1,06934561339702e-02
ADAMTS1;2,24040766807276e-03;2,39391788469519e-03;2,21127339491517e-03
ADAMTS10;3,27980281573208e-03;1,63357829020467e-03;3,59223514799447e-03
ADAMTS3;-1,66744775583162e-05;-2,55941365699177e-04;2,87353135946019e-05
ADAMTS6;8,42743441387558e-03;7,67170641384370e-03;8,57086190990946e-03
ADAMTSL4;7,31164313038135e-03;2,18691158840602e-02;4,54882123473452e-03
ADAP1;1,76030501494533e-02;2,66977893800167e-02;1,58769851169737e-02
ADAP2;1,84977504609493e-02;3,34784140122031e-02;1,56546123715949e-02
ADAR;1,65929607865527e-01;2,07011563391191e-01;1,58132778830514e-01
ADARB1;3,11823321476469e-02;2,65468912081285e-02;3,20620794733249e-02
ADAT1;2,39734797976899e-02;3,94048609224432e-02;2,10448012850844e-02
ADAT2;2,01330491430262e-02;3,29733953244291e-02;1,76961158800943e-02
ADAT3;2,77602117146577e-03;2,76409890093022e-03;2,77828386572863e-03
ADCK1;8,24135411153756e-03;7,97178389901826e-03;8,29251508557231e-03
ADCK2;1,11169755190942e-02;1,20071607419678e-02;1,09480297641166e-02
ADCK5;1,09900797459074e-02;1,28179713481385e-02;1,06431693290401e-02
ADCY3;7,68784674118656e-03;1,74666593222873e-02;5,83195334748851e-03
ADCY6;4,43636872230862e-04;2,03661170151349e-03;1,41310650363533e-04
ADCY7;5,51480162182947e-02;8,68242093420338e-02;4,91362804305092e-02
ADCY9;7,34405943753407e-03;1,00048881581202e-02;6,83906822276820e-03
ADD1;9,69255168833099e-02;1,35367105310078e-01;8,96297957093115e-02
ADD2;3,27975674565183e-02;1,16952830363358e-02;3,68025107891111e-02
ADD3;1,94231861677713e-01;2,18856440540592e-01;1,89558431968820e-01
ADGRA2;3,43583566659286e-03;1,51187247049066e-02;1,21857294622757e-03
ADGRA3;8,74479354273597e-03;1,45094971056290e-02;7,65072663325477e-03
ADGRE1;1,42473198148591e-02;2,24522429351811e-02;1,26901304845068e-02
ADGRE2;2,19170900426084e-02;4,75653855209958e-02;1,70493720305104e-02
ADGRE3;3,73072138056508e-03;7,48527229305069e-03;3,01815570073479e-03
ADGRE5;1,57131325326352e-01;2,17749325303684e-01;1,45626805246424e-01
ADGRG1;2,28166697309641e-02;3,06360906818331e-02;2,13326437753682e-02
ADGRG3;1,86581482219465e-04;4,92510526800877e-03;-7,12729647530964e-04
ADGRG5;1,16397997357955e-02;3,22799304899167e-02;7,72256725036369e-03
ADGRG6;1,13434761326973e-03;3,87778461107817e-04;1,27603687727239e-03
ADGRL1;2,46857898302305e-03;3,98632045610505e-03;2,18053108867254e-03
ADGRL2;-4,44311482356825e-04;8,75725351085313e-04;-6,94837568045194e-04
ADH5;8,82931480738403e-02;1,04737407367960e-01;8,51722382563031e-02
ADHFE1;7,40247418969965e-03;1,55422507860427e-02;5,85764883528728e-03
ADI1;1,45794792502273e-01;1,72210039229428e-01;1,40781516965264e-01
ADIPOR1;1,25317202292149e-01;1,23044507629634e-01;1,25748530633405e-01
ADIPOR2;5,04198962842903e-02;8,68829885480289e-02;4,34996683440532e-02
ADK;1,09296468283295e-01;1,82760531588396e-01;9,53539298992730e-02
