"","interaction_ID","AML1012-D0","AML210A-D0","AML328-D0","AML419A-D0","AML420B-D0","AML556-D0","AML707B-D0","AML916-D0","AML921A-D0","BM1","BM2","BM3","BM4","BM-A","BM-B","BM-C1","BM-E","BM-F","BM-G","BM-H","BM-J","BM-K","BM-L","BM-M","BM-N","BM-O","BM-P","BM-Q","BM-R","BM-Sk2","BM-T","BM-U","BM-W"
"1","HSPC:ADAMTS3_HSPC:CCBE1",0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,0.0698596518136343,NA,0.0698596518136343,0.0698596518136343,0.0698596518136343
"2","HSPC:ADGRA3_HSPC:SIGLEC10",0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793,0.125588400276793
"3","HSPC:ALOX5AP_HSPC:ALOX5",0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716,0.682896081868716
"4","HSPC:ATP1B1_HSPC:NEGR1",0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009,0.175891634195009
"5","HSPC:C1orf112_HSPC:PLSCR4",0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961,0.752950997146961
"6","HSPC:CD320_HSPC:JAML",0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553,0.212763277092553
"7","HSPC:CD320_HSPC:TMEM167A",0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519,0.549416069151519
"8","HSPC:CD52_HSPC:SIGLEC10",0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702,0.338547582262702
"9","HSPC:CD53_HSPC:CD37",0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176,0.41330716625176
"10","HSPC:CD69_HSPC:KLRB1",0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511,0.191960066391511
