"gene_symbol"	"is_in_LR_database"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"ACAA1"	FALSE	FALSE	FALSE	39.1884767880537	1	TRUE
"ACAA2"	FALSE	FALSE	FALSE	55.6116293016644	1	TRUE
"ACACA"	FALSE	FALSE	FALSE	9.34727216462265	1	TRUE
"ACACB"	FALSE	FALSE	FALSE	2.96779935627473	1	TRUE
"ACAD10"	FALSE	FALSE	FALSE	4.85879890321302	1	TRUE
"ACAD11"	FALSE	FALSE	FALSE	2.37057275260795	1	TRUE
"ACAD8"	FALSE	FALSE	FALSE	9.26846113356279	1	TRUE
"ACAD9"	FALSE	FALSE	FALSE	12.6205336930417	1	TRUE
"ACADM"	FALSE	FALSE	FALSE	70.4195639127167	1	TRUE
"ACADS"	FALSE	FALSE	FALSE	18.2667974500282	1	TRUE
"ACADSB"	FALSE	FALSE	FALSE	10.5663611347304	1	TRUE
"ACADVL"	FALSE	FALSE	FALSE	88.0644240930077	1	TRUE
"ACAP1"	FALSE	FALSE	FALSE	59.5603246231	1	TRUE
"ACAP2"	FALSE	FALSE	FALSE	72.9645644363554	1	TRUE
"ACAP3"	FALSE	FALSE	FALSE	10.7537076182347	1	TRUE
"ACAT1"	FALSE	FALSE	FALSE	69.5328917925671	1	TRUE
"ACAT2"	FALSE	FALSE	FALSE	28.3969793926498	1	TRUE
"ACBD3"	FALSE	FALSE	FALSE	20.4458944916877	1	TRUE
"ACBD4"	FALSE	FALSE	FALSE	4.27490223038929	1	TRUE
"ACBD5"	FALSE	FALSE	FALSE	15.5924004532202	1	TRUE
"ACBD6"	FALSE	FALSE	FALSE	41.6003283048433	1	TRUE
"ACBD7"	FALSE	FALSE	FALSE	1.14151223312575	1	TRUE
"ACCS"	FALSE	FALSE	FALSE	4.7511155797754	1	TRUE
"ACD"	FALSE	FALSE	FALSE	16.2238050162081	1	TRUE
"ACER3"	FALSE	FALSE	FALSE	17.0061676250932	1	TRUE
"ACHE"	FALSE	FALSE	FALSE	9.45315399869711	1	TRUE
"ACIN1"	FALSE	FALSE	FALSE	71.9167234998664	1	TRUE
"ACKR1"	FALSE	TRUE	TRUE	8.47015278915407	1	TRUE
"ACKR2"	FALSE	FALSE	TRUE	1.08902868144931	1	TRUE
"ACLY"	FALSE	FALSE	FALSE	30.0918188293614	1	TRUE
"ACO1"	FALSE	FALSE	FALSE	8.81155022945049	1	TRUE
"ACO2"	FALSE	FALSE	FALSE	32.7997688205129	1	TRUE
"ACOT11"	FALSE	FALSE	FALSE	3.36687521139765	1	TRUE
"ACOT13"	FALSE	FALSE	FALSE	32.6602529955751	1	TRUE
"ACOT2"	FALSE	FALSE	FALSE	6.49154883022309	1	TRUE
"ACOT4"	FALSE	FALSE	FALSE	1.54474100601813	1	TRUE
"ACOT7"	FALSE	FALSE	FALSE	17.1970034826656	1	TRUE
"ACOT8"	FALSE	FALSE	FALSE	15.5050528863983	1	TRUE
"ACOT9"	FALSE	FALSE	FALSE	18.8599990524201	1	TRUE
"ACOX1"	FALSE	FALSE	FALSE	14.4235300166937	1	TRUE
"ACOX3"	FALSE	FALSE	FALSE	4.81147691893639	1	TRUE
"ACP1"	FALSE	FALSE	FALSE	143.330193417799	1	TRUE
"ACP2"	FALSE	FALSE	FALSE	5.68452479258133	1	TRUE
"ACP5"	FALSE	FALSE	FALSE	9.11850201315158	1	TRUE
"ACP6"	FALSE	FALSE	FALSE	4.37411828455178	1	TRUE
"ACPP"	FALSE	FALSE	FALSE	4.4944244545808	1	TRUE
"ACRBP"	FALSE	FALSE	FALSE	2.94788584023343	1	TRUE
"ACSBG1"	FALSE	FALSE	FALSE	2.33570114263396	1	TRUE
"ACSF2"	FALSE	FALSE	FALSE	6.2770869404256	1	TRUE
"ACSF3"	FALSE	FALSE	FALSE	16.9706876497121	1	TRUE
"ACSL1"	FALSE	FALSE	FALSE	16.6920553437906	1	TRUE
"ACSL3"	FALSE	FALSE	FALSE	25.4766037647383	1	TRUE
"ACSL4"	FALSE	FALSE	FALSE	36.7492694948538	1	TRUE
"ACSL5"	FALSE	FALSE	FALSE	20.9405112745132	1	TRUE
"ACSL6"	FALSE	FALSE	FALSE	10.3150553871123	1	TRUE
"ACSM3"	FALSE	FALSE	FALSE	15.6230917552584	1	TRUE
"ACSS1"	FALSE	FALSE	FALSE	31.7194098468981	1	TRUE
"ACSS2"	FALSE	FALSE	FALSE	8.31129614791265	1	TRUE
"ACTA2"	FALSE	FALSE	FALSE	4.89910875618259	1	TRUE
"ACTB"	FALSE	FALSE	FALSE	4208.89675400309	1	TRUE
"ACTG1"	FALSE	FALSE	FALSE	1055.34146914011	1	TRUE
"ACTG2"	FALSE	FALSE	FALSE	1.16802048895612	1	TRUE
"ACTL6A"	FALSE	FALSE	FALSE	44.4445273108694	1	TRUE
"ACTN1"	FALSE	FALSE	FALSE	29.7214681635278	1	TRUE
"ACTN4"	FALSE	FALSE	FALSE	52.3486140715339	1	TRUE
"ACTR10"	FALSE	FALSE	FALSE	41.299089795964	1	TRUE
"ACTR1A"	FALSE	FALSE	FALSE	26.3371101645766	1	TRUE
"ACTR1B"	FALSE	FALSE	FALSE	22.803998897579	1	TRUE
"ACTR2"	FALSE	TRUE	TRUE	234.806155793709	1	TRUE
"ACTR3"	FALSE	FALSE	FALSE	174.801330187884	1	TRUE
"ACTR3B"	FALSE	FALSE	FALSE	3.33065158106675	1	TRUE
"ACTR3C"	FALSE	FALSE	FALSE	2.84192919008523	1	TRUE
"ACTR5"	FALSE	FALSE	FALSE	5.92882293831571	1	TRUE
"ACTR6"	FALSE	FALSE	FALSE	29.3546295987454	1	TRUE
"ACTR8"	FALSE	FALSE	FALSE	8.45976847728952	1	TRUE
"ACVR1"	FALSE	TRUE	TRUE	3.05322701366797	1	TRUE
"ACVR1B"	FALSE	FALSE	TRUE	3.28384347558679	1	TRUE
"ACVR2A"	FALSE	TRUE	TRUE	3.04968813617872	1	TRUE
"ACVR2B"	FALSE	TRUE	TRUE	2.59988758268973	1	TRUE
"ACY1"	FALSE	FALSE	FALSE	3.19807579252071	1	TRUE
"ACY3"	FALSE	FALSE	FALSE	6.03369578380026	1	TRUE
"ACYP1"	FALSE	FALSE	FALSE	37.3898670241576	1	TRUE
"ACYP2"	FALSE	FALSE	FALSE	24.4363666767357	1	TRUE
"ADA"	FALSE	TRUE	FALSE	47.7194068815021	1	TRUE
"ADAL"	FALSE	FALSE	FALSE	14.8728846034845	1	TRUE
"ADAM10"	FALSE	TRUE	TRUE	49.9325903990949	1	TRUE
"ADAM15"	FALSE	TRUE	TRUE	17.0448132597741	1	TRUE
"ADAM17"	FALSE	TRUE	TRUE	26.758545581485	1	TRUE
"ADAM19"	FALSE	FALSE	FALSE	8.15030727102022	1	TRUE
"ADAM22"	FALSE	FALSE	TRUE	1.69529083656121	1	TRUE
"ADAM28"	FALSE	TRUE	FALSE	31.932909680575	1	TRUE
"ADAM8"	FALSE	FALSE	FALSE	15.3050765878575	1	TRUE
"ADAM9"	FALSE	TRUE	FALSE	7.17402091897403	1	TRUE
"ADAMTS1"	FALSE	FALSE	FALSE	1.10227175999621	1	TRUE
"ADAMTS10"	FALSE	FALSE	FALSE	1.28333517973193	1	TRUE
"ADAMTS3"	FALSE	TRUE	FALSE	1.82095798767939	1	TRUE
"ADAMTS6"	FALSE	FALSE	FALSE	1.79490717372353	1	TRUE
"ADAMTSL4"	FALSE	FALSE	FALSE	3.79004965509549	1	TRUE
"ADAP1"	FALSE	FALSE	FALSE	5.88395075339854	1	TRUE
"ADAP2"	FALSE	FALSE	FALSE	5.86812292537649	1	TRUE
"ADAR"	FALSE	FALSE	FALSE	68.2290916306045	1	TRUE
"ADARB1"	FALSE	FALSE	FALSE	6.37251118453078	1	TRUE
"ADAT1"	FALSE	FALSE	FALSE	10.4802969788241	1	TRUE
"ADAT2"	FALSE	FALSE	FALSE	13.1284402383816	1	TRUE
"ADAT3"	FALSE	FALSE	FALSE	1.1624161120528	1	TRUE
"ADCK1"	FALSE	FALSE	FALSE	2.94079125960689	1	TRUE
"ADCK2"	FALSE	FALSE	FALSE	6.7458509435743	1	TRUE
"ADCK5"	FALSE	FALSE	FALSE	4.72809146126136	1	TRUE
"ADCY3"	FALSE	FALSE	FALSE	5.62509853910444	1	TRUE
"ADCY6"	FALSE	FALSE	FALSE	1.45968670689918	1	TRUE
"ADCY7"	FALSE	FALSE	TRUE	24.100345805664	1	TRUE
"ADCY9"	FALSE	FALSE	TRUE	1.41869931613139	1	TRUE
"ADD1"	FALSE	FALSE	FALSE	44.3638832055803	1	TRUE
"ADD2"	FALSE	FALSE	FALSE	28.1590729124194	1	TRUE
"ADD3"	FALSE	FALSE	FALSE	76.2489855318874	1	TRUE
"ADGRA2"	FALSE	FALSE	TRUE	2.56139189634288	1	TRUE
"ADGRA3"	FALSE	TRUE	FALSE	5.95119661878527	1	TRUE
"ADGRE1"	FALSE	FALSE	FALSE	3.79011174276157	1	TRUE
"ADGRE2"	FALSE	FALSE	TRUE	11.7226890842659	1	TRUE
"ADGRE3"	FALSE	FALSE	FALSE	1.15201226458617	1	TRUE
"ADGRE5"	FALSE	FALSE	TRUE	44.5600503404	1	TRUE
"ADGRG1"	FALSE	FALSE	TRUE	11.0672705131516	1	TRUE
"ADGRG3"	FALSE	FALSE	TRUE	1.21573358398202	1	TRUE
"ADGRG5"	FALSE	FALSE	TRUE	4.14940121507772	1	TRUE
"ADGRG6"	FALSE	FALSE	FALSE	5.20070416787038	1	TRUE
"ADGRL1"	FALSE	FALSE	TRUE	3.75392975847214	1	TRUE
"ADGRL2"	FALSE	FALSE	TRUE	1.03606456109967	1	TRUE
"ADH5"	FALSE	FALSE	FALSE	48.3257904158333	1	TRUE
"ADHFE1"	FALSE	FALSE	FALSE	2.8058168591604	1	TRUE
"ADI1"	FALSE	FALSE	FALSE	81.303634525997	1	TRUE
"ADIPOR1"	FALSE	FALSE	TRUE	57.7199061673909	1	TRUE
"ADIPOR2"	FALSE	FALSE	TRUE	24.4555445540925	1	TRUE
"ADK"	FALSE	FALSE	FALSE	62.1902537512111	1	TRUE
