Gene;OverallAverageExpression;case_avg;control_avg
KCNAB2;1,55009084039134e-01;1,68276220541614e-01;1,43873802009896e-01
RPL22;1,21640285931369e+00;1,18526563744195e+00;1,24253673885008e+00
RNF207;3,53134037023343e-03;3,73688313339073e-03;3,35882562777959e-03
ICMT;2,80498045346790e-02;2,51067370887833e-02;3,05199597211421e-02
GPR153;3,29414924979875e-03;3,75590206849850e-03;2,90659404049978e-03
ACOT7;2,02361100752913e-02;2,47674292687034e-02;1,64329143236153e-02
AL031848.2;5,19735882034338e-03;3,87116790632437e-03;6,31044828388003e-03
ESPN;3,56725418312238e-03;4,53217583725740e-03;2,75738275737028e-03
TNFRSF25;3,77648588610286e-02;4,60347366126050e-02;3,08238417776587e-02
NOL9;5,74500296705737e-02;5,76090217988759e-02;5,73165854877433e-02
ZBTB48;3,24877644611649e-02;3,83867877697372e-02;2,75366366706493e-02
KLHL21;2,01233872164393e-02;2,09964083571233e-02;1,93906490994247e-02
PHF13;1,39366882897276e-02;1,76921822148791e-02;1,07846528819490e-02
THAP3;2,58026732485677e-02;2,61155696031481e-02;2,55400552259431e-02
DNAJC11;2,83053637527712e-02;3,11954297295036e-02;2,58796933959462e-02
CAMTA1;1,76982951703672e-01;1,93182016591586e-01;1,63386863647812e-01
VAMP3;1,45516317723566e-01;1,60348588091269e-01;1,33067398271550e-01
PER3;1,08910213553863e-02;1,02478227317469e-02;1,14308664134139e-02
UTS2;6,77712182140144e-03;4,31198460669614e-03;8,84614388365124e-03
TNFRSF9;9,45037262561797e-03;1,09541186678514e-02;8,18825880946120e-03
PARK7;4,60456310296492e-01;4,19073420639892e-01;4,95189513457919e-01
ERRFI1;3,83094994045445e-03;5,37187118992891e-03;2,53763448428691e-03
RERE;1,22746205485140e-01;1,25055090227930e-01;1,20808328176108e-01
ENO1;5,79350129441466e-01;6,42902923815654e-01;5,26009433883657e-01
ENO1-AS1;3,81696065940318e-03;3,15363407459183e-03;4,37369937977318e-03
SLC2A5;5,92539128819319e-03;8,91175827422206e-03;3,41889422863424e-03
GPR157;6,92429073340597e-03;4,95564922657573e-03;8,57659742286520e-03
MIR34AHG;1,57727769845941e-03;3,29266763028441e-03;1,37528384248769e-04
H6PD;3,50551567933883e-02;3,54375920365183e-02;3,47341738676925e-02
SPSB1;4,87595429919195e-03;8,09671473109030e-03;2,17272774001012e-03
SLC25A33;7,12362108041317e-02;8,53145055287356e-02;5,94201130184583e-02
TMEM201;8,70539769458157e-03;1,08644287487917e-02;6,89329455582095e-03
PIK3CD;6,69155788725726e-02;6,58048549537162e-02;6,78478240553047e-02
PIK3CD-AS1;2,15831572148380e-03;2,54549534568476e-03;1,83335077440230e-03
PIK3CD-AS2;2,74877596882604e-03;2,09015349210067e-03;3,30156646945595e-03
CLSTN1;7,98586308395139e-02;1,06083654220283e-01;5,78476240549221e-02
CTNNBIP1;6,89113733819707e-02;5,95747794437229e-02;7,67476993800802e-02
LZIC;1,09479819285537e-01;1,01789748422799e-01;1,15934196827020e-01
NMNAT1;1,55781355396851e-02;1,36364771358355e-02;1,72077949561886e-02
RBP7;1,10580406615014e-01;3,01852248656892e-02;1,78057139247043e-01
