"","interaction_id","sender_cell_type","sender_gene","receiver_cell_type","receiver_gene","sender_pval","receiver_pval","sender_logfc","receiver_logfc"
"7234","Mono:HGF_HSPC:CD44","Mono","HGF","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7235","Mono:HGF_HSPC:ITGB1","Mono","HGF","HSPC","ITGB1",NA,NA,NA,NA
"7236","Mono:HGF_HSPC:ST14","Mono","HGF","HSPC","ST14",NA,NA,NA,NA
"7237","Mono:HLA-A_HSPC:APLP2","Mono","HLA-A","HSPC","APLP2",NA,NA,NA,NA
"7238","Mono:HLA-A_HSPC:LILRB2","Mono","HLA-A","HSPC","LILRB2",NA,NA,NA,NA
"7239","Mono:HLA-B_HSPC:CANX","Mono","HLA-B","HSPC","CANX",NA,NA,NA,NA
"7240","Mono:HLA-B_HSPC:LILRB2","Mono","HLA-B","HSPC","LILRB2",NA,NA,NA,NA
"7241","Mono:HLA-B_HSPC:SIGLEC10","Mono","HLA-B","HSPC","SIGLEC10",NA,NA,NA,NA
"7242","Mono:HLA-C_HSPC:CD53","Mono","HLA-C","HSPC","CD53",NA,NA,NA,NA
"7243","Mono:HLA-C_HSPC:CD81","Mono","HLA-C","HSPC","CD81",NA,NA,NA,NA
"7244","Mono:HLA-C_HSPC:LILRB2","Mono","HLA-C","HSPC","LILRB2",NA,NA,NA,NA
"7245","Mono:HLA-DQB1_HSPC:CD4","Mono","HLA-DQB1","HSPC","CD4",0,NA,-0.462548370438111,NA
"7246","Mono:HLA-DRA_HSPC:CD37","Mono","HLA-DRA","HSPC","CD37",0,NA,-0.514404387512692,NA
"7247","Mono:HLA-DRA_HSPC:CD4","Mono","HLA-DRA","HSPC","CD4",0,NA,-0.514404387512692,NA
"7248","Mono:HLA-DRA_HSPC:CD53","Mono","HLA-DRA","HSPC","CD53",0,NA,-0.514404387512692,NA
"7249","Mono:HLA-DRA_HSPC:CD63","Mono","HLA-DRA","HSPC","CD63",0,NA,-0.514404387512692,NA
"7250","Mono:HLA-DRA_HSPC:CD81","Mono","HLA-DRA","HSPC","CD81",0,NA,-0.514404387512692,NA
"7251","Mono:HLA-DRA_HSPC:CD82","Mono","HLA-DRA","HSPC","CD82",0,NA,-0.514404387512692,NA
"7252","Mono:HLA-DRA_HSPC:CD9","Mono","HLA-DRA","HSPC","CD9",0,NA,-0.514404387512692,NA
"7253","Mono:HLA-DRB1_HSPC:CD37","Mono","HLA-DRB1","HSPC","CD37",0,NA,-0.510387132729279,NA
"7254","Mono:HLA-DRB1_HSPC:CD53","Mono","HLA-DRB1","HSPC","CD53",0,NA,-0.510387132729279,NA
"7255","Mono:HLA-DRB1_HSPC:CD81","Mono","HLA-DRB1","HSPC","CD81",0,NA,-0.510387132729279,NA
"7256","Mono:HLA-DRB1_HSPC:CD82","Mono","HLA-DRB1","HSPC","CD82",0,NA,-0.510387132729279,NA
"7257","Mono:HLA-DRB5_HSPC:CD4","Mono","HLA-DRB5","HSPC","CD4",NA,NA,NA,NA
"7258","Mono:HLA-F_HSPC:LILRB2","Mono","HLA-F","HSPC","LILRB2",NA,NA,NA,NA
"7259","Mono:HMGB1_HSPC:CXCR4","Mono","HMGB1","HSPC","CXCR4",NA,NA,NA,NA
"7260","Mono:HMGB1_HSPC:HAVCR2","Mono","HMGB1","HSPC","HAVCR2",NA,NA,NA,NA
"7261","Mono:HMGB1_HSPC:THBD","Mono","HMGB1","HSPC","THBD",NA,NA,NA,NA
"7262","Mono:HMGB1_HSPC:TLR2","Mono","HMGB1","HSPC","TLR2",NA,NA,NA,NA
"7263","Mono:HMGB1_HSPC:TLR4","Mono","HMGB1","HSPC","TLR4",NA,NA,NA,NA
"7264","Mono:HSP90AA1_HSPC:LRP1","Mono","HSP90AA1","HSPC","LRP1",NA,NA,NA,NA
"7265","Mono:HSP90B1_HSPC:LRP1","Mono","HSP90B1","HSPC","LRP1",NA,NA,NA,NA
"7266","Mono:HSP90B1_HSPC:TLR2","Mono","HSP90B1","HSPC","TLR2",NA,NA,NA,NA
"7267","Mono:HSP90B1_HSPC:TLR4","Mono","HSP90B1","HSPC","TLR4",NA,NA,NA,NA
"7268","Mono:HSPA1A_HSPC:TLR4","Mono","HSPA1A","HSPC","TLR4",NA,NA,NA,NA
"7269","Mono:HSPA4_HSPC:TLR4","Mono","HSPA4","HSPC","TLR4",NA,NA,NA,NA
"7270","Mono:HSPA8_HSPC:LDLR","Mono","HSPA8","HSPC","LDLR",NA,NA,NA,NA
"7271","Mono:ICAM1_HSPC:CAV1","Mono","ICAM1","HSPC","CAV1",NA,NA,NA,NA
"7272","Mono:ICAM1_HSPC:EZR","Mono","ICAM1","HSPC","EZR",NA,NA,NA,NA
"7273","Mono:ICAM1_HSPC:IL2RG","Mono","ICAM1","HSPC","IL2RG",NA,NA,NA,NA
"7274","Mono:ICAM1_HSPC:ITGAL","Mono","ICAM1","HSPC","ITGAL",NA,NA,NA,NA
"7275","Mono:ICAM1_HSPC:ITGAM","Mono","ICAM1","HSPC","ITGAM",NA,NA,NA,NA
"7276","Mono:ICAM1_HSPC:ITGAX","Mono","ICAM1","HSPC","ITGAX",NA,NA,NA,NA
"7277","Mono:ICAM1_HSPC:MSN","Mono","ICAM1","HSPC","MSN",NA,NA,NA,NA
"7278","Mono:ICAM1_HSPC:MUC1","Mono","ICAM1","HSPC","MUC1",NA,NA,NA,NA
"7279","Mono:ICAM1_HSPC:SPN","Mono","ICAM1","HSPC","SPN",NA,NA,NA,NA
"7280","Mono:ICAM2_HSPC:ITGAL","Mono","ICAM2","HSPC","ITGAL",NA,NA,NA,NA
"7281","Mono:ICAM2_HSPC:ITGAM","Mono","ICAM2","HSPC","ITGAM",NA,NA,NA,NA
"7282","Mono:ICAM2_HSPC:ITGB2","Mono","ICAM2","HSPC","ITGB2",NA,NA,NA,NA
"7283","Mono:IFITM1_HSPC:CD81","Mono","IFITM1","HSPC","CD81",NA,NA,NA,NA
"7284","Mono:IL10RB_HSPC:IL10RA","Mono","IL10RB","HSPC","IL10RA",NA,NA,NA,NA
"7285","Mono:IL16_HSPC:CD4","Mono","IL16","HSPC","CD4",NA,NA,NA,NA
"7286","Mono:IL16_HSPC:CD9","Mono","IL16","HSPC","CD9",NA,NA,NA,NA
"7287","Mono:IL18_HSPC:CD48","Mono","IL18","HSPC","CD48",NA,NA,NA,NA
"7288","Mono:IL18_HSPC:IL18RAP","Mono","IL18","HSPC","IL18RAP",NA,NA,NA,NA
"7289","Mono:IL1B_HSPC:IL1R1","Mono","IL1B","HSPC","IL1R1",2.87318281237088e-302,NA,0.290397533324859,NA
"7290","Mono:IL1B_HSPC:IL1R2","Mono","IL1B","HSPC","IL1R2",2.87318281237088e-302,NA,0.290397533324859,NA
"7291","Mono:IL1B_HSPC:SIGIRR","Mono","IL1B","HSPC","SIGIRR",2.87318281237088e-302,NA,0.290397533324859,NA
"7292","Mono:IL1R2_HSPC:TNFSF13B","Mono","IL1R2","HSPC","TNFSF13B",NA,NA,NA,NA
"7293","Mono:IL1RN_HSPC:IL1B","Mono","IL1RN","HSPC","IL1B",NA,NA,NA,NA
"7294","Mono:IL1RN_HSPC:IL1R1","Mono","IL1RN","HSPC","IL1R1",NA,NA,NA,NA
"7295","Mono:IL1RN_HSPC:IL1R2","Mono","IL1RN","HSPC","IL1R2",NA,NA,NA,NA
"7296","Mono:IL1RN_HSPC:IL2RG","Mono","IL1RN","HSPC","IL2RG",NA,NA,NA,NA
"7297","Mono:IL6_HSPC:F3","Mono","IL6","HSPC","F3",NA,NA,NA,NA
"7298","Mono:IL6_HSPC:IL6R","Mono","IL6","HSPC","IL6R",NA,NA,NA,NA
"7299","Mono:IL6_HSPC:IL6ST","Mono","IL6","HSPC","IL6ST",NA,NA,NA,NA
"7300","Mono:IL6ST_HSPC:VSIG10","Mono","IL6ST","HSPC","VSIG10",NA,NA,NA,NA
"7301","Mono:IRAK4_HSPC:TLR4","Mono","IRAK4","HSPC","TLR4",NA,NA,NA,NA
"7302","Mono:ITGA4_HSPC:CD81","Mono","ITGA4","HSPC","CD81",NA,NA,NA,NA
"7303","Mono:ITGA4_HSPC:CD82","Mono","ITGA4","HSPC","CD82",NA,NA,NA,NA
"7304","Mono:ITGA4_HSPC:CD9","Mono","ITGA4","HSPC","CD9",NA,NA,NA,NA
"7305","Mono:ITGA5_HSPC:CD9","Mono","ITGA5","HSPC","CD9",NA,NA,NA,NA
"7306","Mono:ITGA5_HSPC:ENG","Mono","ITGA5","HSPC","ENG",NA,NA,NA,NA
"7307","Mono:ITGB1_HSPC:CD151","Mono","ITGB1","HSPC","CD151",NA,NA,NA,NA
"7308","Mono:ITGB1_HSPC:CD81","Mono","ITGB1","HSPC","CD81",NA,NA,NA,NA
"7309","Mono:ITGB1_HSPC:ENG","Mono","ITGB1","HSPC","ENG",NA,NA,NA,NA
"7310","Mono:JAK1_HSPC:IFNAR2","Mono","JAK1","HSPC","IFNAR2",NA,NA,NA,NA
"7311","Mono:JAK2_HSPC:EPOR","Mono","JAK2","HSPC","EPOR",NA,NA,NA,NA
"7312","Mono:LDLR_HSPC:LRP1","Mono","LDLR","HSPC","LRP1",NA,NA,NA,NA
"7313","Mono:LGALS1_HSPC:CD69","Mono","LGALS1","HSPC","CD69",NA,NA,NA,NA
"7314","Mono:LGALS1_HSPC:ITGB1","Mono","LGALS1","HSPC","ITGB1",NA,NA,NA,NA
"7315","Mono:LGALS1_HSPC:PTPRC","Mono","LGALS1","HSPC","PTPRC",NA,NA,NA,NA
"7316","Mono:LGALS3_HSPC:ANXA2","Mono","LGALS3","HSPC","ANXA2",NA,NA,NA,NA
"7317","Mono:LGALS3_HSPC:ENG","Mono","LGALS3","HSPC","ENG",NA,NA,NA,NA
"7318","Mono:LGALS3_HSPC:PTPRK","Mono","LGALS3","HSPC","PTPRK",NA,NA,NA,NA
"7319","Mono:LGALS3BP_HSPC:CD33","Mono","LGALS3BP","HSPC","CD33",NA,NA,NA,NA
"7320","Mono:LGALS3BP_HSPC:ITGB1","Mono","LGALS3BP","HSPC","ITGB1",NA,NA,NA,NA
"7321","Mono:LGALS9_HSPC:CD44","Mono","LGALS9","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7322","Mono:LGALS9_HSPC:CD47","Mono","LGALS9","HSPC","CD47",NA,NA,NA,NA
"7323","Mono:LGALS9_HSPC:HAVCR2","Mono","LGALS9","HSPC","HAVCR2",NA,NA,NA,NA
"7324","Mono:LGALS9_HSPC:LRP1","Mono","LGALS9","HSPC","LRP1",NA,NA,NA,NA
"7325","Mono:LGALS9_HSPC:PTPRC","Mono","LGALS9","HSPC","PTPRC",NA,NA,NA,NA
"7326","Mono:LGALS9_HSPC:PTPRK","Mono","LGALS9","HSPC","PTPRK",NA,NA,NA,NA
"7327","Mono:LGALS9_HSPC:SLC1A5","Mono","LGALS9","HSPC","SLC1A5",NA,NA,NA,NA
"7328","Mono:LILRA1_HSPC:CD300E","Mono","LILRA1","HSPC","CD300E",NA,NA,NA,NA
"7329","Mono:LILRA1_HSPC:IFNGR1","Mono","LILRA1","HSPC","IFNGR1",NA,NA,NA,NA
"7330","Mono:LILRA1_HSPC:NETO2","Mono","LILRA1","HSPC","NETO2",NA,NA,NA,NA
"7331","Mono:LILRB2_HSPC:SIGLEC10","Mono","LILRB2","HSPC","SIGLEC10",NA,NA,NA,NA
"7332","Mono:LMAN1_HSPC:MCFD2","Mono","LMAN1","HSPC","MCFD2",NA,NA,NA,NA
"7333","Mono:LRPAP1_HSPC:LDLR","Mono","LRPAP1","HSPC","LDLR",NA,NA,NA,NA
"7334","Mono:LRPAP1_HSPC:LRP1","Mono","LRPAP1","HSPC","LRP1",NA,NA,NA,NA
"7335","Mono:LRPAP1_HSPC:LRP8","Mono","LRPAP1","HSPC","LRP8",NA,NA,NA,NA
"7336","Mono:LRPAP1_HSPC:SIRPA","Mono","LRPAP1","HSPC","SIRPA",NA,NA,NA,NA
"7337","Mono:LRPAP1_HSPC:SORL1","Mono","LRPAP1","HSPC","SORL1",NA,NA,NA,NA
"7338","Mono:LRPAP1_HSPC:SORT1","Mono","LRPAP1","HSPC","SORT1",NA,NA,NA,NA
"7339","Mono:LRPAP1_HSPC:VLDLR","Mono","LRPAP1","HSPC","VLDLR",NA,NA,NA,NA
"7340","Mono:LY86_HSPC:CD180","Mono","LY86","HSPC","CD180",NA,NA,NA,NA
"7341","Mono:LYN_HSPC:EPOR","Mono","LYN","HSPC","EPOR",NA,NA,NA,NA
"7342","Mono:LYZ_HSPC:ITGAL","Mono","LYZ","HSPC","ITGAL",NA,NA,NA,NA
"7343","Mono:MIF_HSPC:CD44","Mono","MIF","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7344","Mono:MIF_HSPC:CD74","Mono","MIF","HSPC","CD74",NA,NA,NA,NA
"7345","Mono:MIF_HSPC:CXCR4","Mono","MIF","HSPC","CXCR4",NA,NA,NA,NA
"7346","Mono:MIF_HSPC:TNFRSF14","Mono","MIF","HSPC","TNFRSF14",NA,NA,NA,NA
"7347","Mono:MMP14_HSPC:CD44","Mono","MMP14","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7348","Mono:NAMPT_HSPC:INSR","Mono","NAMPT","HSPC","INSR",NA,NA,NA,NA
"7349","Mono:NCAM1_HSPC:PTPRA","Mono","NCAM1","HSPC","PTPRA",NA,NA,NA,NA
"7350","Mono:NCAM1_HSPC:ROBO1","Mono","NCAM1","HSPC","ROBO1",NA,NA,NA,NA
"7351","Mono:NCAM1_HSPC:ROBO3","Mono","NCAM1","HSPC","ROBO3",NA,NA,NA,NA
"7352","Mono:NUCB2_HSPC:ERAP1","Mono","NUCB2","HSPC","ERAP1",NA,NA,NA,NA
"7353","Mono:PECAM1_HSPC:CD38","Mono","PECAM1","HSPC","CD38",NA,NA,NA,NA
"7354","Mono:PIK3R1_HSPC:CBL","Mono","PIK3R1","HSPC","CBL",NA,NA,NA,NA
"7355","Mono:PIK3R1_HSPC:EPN1","Mono","PIK3R1","HSPC","EPN1",NA,NA,NA,NA
"7356","Mono:PIK3R1_HSPC:EPOR","Mono","PIK3R1","HSPC","EPOR",NA,NA,NA,NA
"7357","Mono:PKM_HSPC:CD44","Mono","PKM","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7358","Mono:POMC_HSPC:VIPR1","Mono","POMC","HSPC","VIPR1",NA,NA,NA,NA
"7359","Mono:PRLR_HSPC:EMC1","Mono","PRLR","HSPC","EMC1",NA,NA,NA,NA
"7360","Mono:PSAP_HSPC:CELSR1","Mono","PSAP","HSPC","CELSR1",NA,NA,NA,NA
"7361","Mono:PSAP_HSPC:LRP1","Mono","PSAP","HSPC","LRP1",NA,NA,NA,NA
"7362","Mono:PSAP_HSPC:SORT1","Mono","PSAP","HSPC","SORT1",NA,NA,NA,NA
"7363","Mono:PSEN1_HSPC:CD44","Mono","PSEN1","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7364","Mono:PSEN1_HSPC:NCSTN","Mono","PSEN1","HSPC","NCSTN",NA,NA,NA,NA
"7365","Mono:PTAFR_HSPC:MBP","Mono","PTAFR","HSPC","MBP",NA,NA,NA,NA
"7366","Mono:PTAFR_HSPC:PRNP","Mono","PTAFR","HSPC","PRNP",NA,NA,NA,NA
"7367","Mono:PTDSS1_HSPC:JMJD6","Mono","PTDSS1","HSPC","JMJD6",NA,NA,NA,NA
"7368","Mono:PTDSS1_HSPC:SCARB1","Mono","PTDSS1","HSPC","SCARB1",NA,NA,NA,NA
"7369","Mono:PTMA_HSPC:VIPR1","Mono","PTMA","HSPC","VIPR1",NA,NA,NA,NA
"7370","Mono:PTPN6_HSPC:CLEC12A","Mono","PTPN6","HSPC","CLEC12A",NA,NA,NA,NA
"7371","Mono:RGS19_HSPC:ENG","Mono","RGS19","HSPC","ENG",NA,NA,NA,NA
"7372","Mono:RNASE2_HSPC:TLR2","Mono","RNASE2","HSPC","TLR2",0,NA,0.629820965632873,NA
"7373","Mono:RPS27A_HSPC:LDLR","Mono","RPS27A","HSPC","LDLR",NA,NA,NA,NA
"7374","Mono:RPS27A_HSPC:SMAD3","Mono","RPS27A","HSPC","SMAD3",NA,NA,NA,NA
"7375","Mono:RPS27A_HSPC:TGFBR2","Mono","RPS27A","HSPC","TGFBR2",NA,NA,NA,NA
"7376","Mono:RPS27A_HSPC:TLR4","Mono","RPS27A","HSPC","TLR4",NA,NA,NA,NA
"7377","Mono:RYK_HSPC:FZD1","Mono","RYK","HSPC","FZD1",NA,NA,NA,NA
"7378","Mono:RYK_HSPC:FZD2","Mono","RYK","HSPC","FZD2",NA,NA,NA,NA
"7379","Mono:S100A12_HSPC:CD36","Mono","S100A12","HSPC","CD36",NA,NA,NA,NA
"7380","Mono:S100A12_HSPC:TLR4","Mono","S100A12","HSPC","TLR4",NA,NA,NA,NA
"7381","Mono:S100A8_HSPC:CD36","Mono","S100A8","HSPC","CD36",NA,NA,NA,NA
"7382","Mono:S100A8_HSPC:CD68","Mono","S100A8","HSPC","CD68",NA,NA,NA,NA
"7383","Mono:S100A8_HSPC:CD69","Mono","S100A8","HSPC","CD69",NA,NA,NA,NA
"7384","Mono:S100A8_HSPC:ITGB2","Mono","S100A8","HSPC","ITGB2",NA,NA,NA,NA
"7385","Mono:S100A8_HSPC:TLR4","Mono","S100A8","HSPC","TLR4",NA,NA,NA,NA
"7386","Mono:S100A9_HSPC:ALCAM","Mono","S100A9","HSPC","ALCAM",NA,NA,NA,NA
"7387","Mono:S100A9_HSPC:CD36","Mono","S100A9","HSPC","CD36",NA,NA,NA,NA
"7388","Mono:S100A9_HSPC:CD68","Mono","S100A9","HSPC","CD68",NA,NA,NA,NA
"7389","Mono:S100A9_HSPC:ITGB2","Mono","S100A9","HSPC","ITGB2",NA,NA,NA,NA
"7390","Mono:S100A9_HSPC:TLR4","Mono","S100A9","HSPC","TLR4",NA,NA,NA,NA
"7391","Mono:SECTM1_HSPC:CD7","Mono","SECTM1","HSPC","CD7",NA,NA,NA,NA
"7392","Mono:SERPINA1_HSPC:LRP1","Mono","SERPINA1","HSPC","LRP1",NA,NA,NA,NA
"7393","Mono:SERPING1_HSPC:LRP1","Mono","SERPING1","HSPC","LRP1",NA,NA,NA,NA
"7394","Mono:SIRPB2_HSPC:CD47","Mono","SIRPB2","HSPC","CD47",NA,NA,NA,NA
"7395","Mono:SPINT1_HSPC:ST14","Mono","SPINT1","HSPC","ST14",NA,NA,NA,NA
"7396","Mono:SPTAN1_HSPC:PTPRA","Mono","SPTAN1","HSPC","PTPRA",NA,NA,NA,NA
"7397","Mono:SRGN_HSPC:CD44","Mono","SRGN","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7398","Mono:STUB1_HSPC:DNAJA3","Mono","STUB1","HSPC","DNAJA3",NA,NA,NA,NA
"7399","Mono:SYK_HSPC:EPOR","Mono","SYK","HSPC","EPOR",NA,NA,NA,NA
"7400","Mono:SYK_HSPC:FCGR2A","Mono","SYK","HSPC","FCGR2A",NA,NA,NA,NA
"7401","Mono:TGFB1_HSPC:ACVRL1","Mono","TGFB1","HSPC","ACVRL1",NA,NA,NA,NA
"7402","Mono:TGFB1_HSPC:CAV1","Mono","TGFB1","HSPC","CAV1",NA,NA,NA,NA
"7403","Mono:TGFB1_HSPC:CD109","Mono","TGFB1","HSPC","CD109",NA,NA,NA,NA
"7404","Mono:TGFB1_HSPC:CXCR4","Mono","TGFB1","HSPC","CXCR4",NA,NA,NA,NA
"7405","Mono:TGFB1_HSPC:ENG","Mono","TGFB1","HSPC","ENG",NA,NA,NA,NA
"7406","Mono:TGFB1_HSPC:ITGB1","Mono","TGFB1","HSPC","ITGB1",NA,NA,NA,NA
"7407","Mono:TGFB1_HSPC:LPP","Mono","TGFB1","HSPC","LPP",NA,NA,NA,NA
"7408","Mono:TGFB1_HSPC:SMAD3","Mono","TGFB1","HSPC","SMAD3",NA,NA,NA,NA
"7409","Mono:TGFB1_HSPC:TGFBR2","Mono","TGFB1","HSPC","TGFBR2",NA,NA,NA,NA
"7410","Mono:TGFB1_HSPC:TGFBR3","Mono","TGFB1","HSPC","TGFBR3",NA,NA,NA,NA
"7411","Mono:TGOLN2_HSPC:BTN3A1","Mono","TGOLN2","HSPC","BTN3A1",NA,NA,NA,NA
"7412","Mono:THBS1_HSPC:CD36","Mono","THBS1","HSPC","CD36",NA,NA,NA,NA
"7413","Mono:THBS1_HSPC:CD47","Mono","THBS1","HSPC","CD47",NA,NA,NA,NA
"7414","Mono:THBS1_HSPC:GP1BB","Mono","THBS1","HSPC","GP1BB",NA,2.21895410888982e-82,NA,-0.301402832063824
"7415","Mono:THBS1_HSPC:GP9","Mono","THBS1","HSPC","GP9",NA,NA,NA,NA
"7416","Mono:THBS1_HSPC:ITGA2B","Mono","THBS1","HSPC","ITGA2B",NA,NA,NA,NA
"7417","Mono:THBS1_HSPC:ITGA4","Mono","THBS1","HSPC","ITGA4",NA,NA,NA,NA
"7418","Mono:THBS1_HSPC:LRP1","Mono","THBS1","HSPC","LRP1",NA,NA,NA,NA
"7419","Mono:THBS1_HSPC:PTPRJ","Mono","THBS1","HSPC","PTPRJ",NA,NA,NA,NA
"7420","Mono:THBS1_HSPC:SCARB1","Mono","THBS1","HSPC","SCARB1",NA,NA,NA,NA
"7421","Mono:THBS1_HSPC:SDC4","Mono","THBS1","HSPC","SDC4",NA,NA,NA,NA
"7422","Mono:TIMP1_HSPC:CD63","Mono","TIMP1","HSPC","CD63",NA,NA,NA,NA
"7423","Mono:TIMP2_HSPC:CD44","Mono","TIMP2","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7424","Mono:TIMP2_HSPC:ITGB1","Mono","TIMP2","HSPC","ITGB1",NA,NA,NA,NA
"7425","Mono:TLR2_HSPC:CD14","Mono","TLR2","HSPC","CD14",NA,NA,NA,NA
"7426","Mono:TLR2_HSPC:CD36","Mono","TLR2","HSPC","CD36",NA,NA,NA,NA
"7427","Mono:TNF_HSPC:FAS","Mono","TNF","HSPC","FAS",NA,NA,NA,NA
"7428","Mono:TNF_HSPC:LTBR","Mono","TNF","HSPC","LTBR",NA,NA,NA,NA
"7429","Mono:TNF_HSPC:TNFRSF1A","Mono","TNF","HSPC","TNFRSF1A",NA,NA,NA,NA
"7430","Mono:TNF_HSPC:TNFRSF1B","Mono","TNF","HSPC","TNFRSF1B",NA,NA,NA,NA
"7431","Mono:TNF_HSPC:TNFRSF21","Mono","TNF","HSPC","TNFRSF21",NA,NA,NA,NA
"7432","Mono:TNF_HSPC:TRADD","Mono","TNF","HSPC","TRADD",NA,NA,NA,NA
"7433","Mono:TNF_HSPC:TRAF2","Mono","TNF","HSPC","TRAF2",NA,NA,NA,NA
"7434","Mono:TNF_HSPC:TRPM2","Mono","TNF","HSPC","TRPM2",NA,NA,NA,NA
"7435","Mono:TNF_HSPC:VSIR","Mono","TNF","HSPC","VSIR",NA,NA,NA,NA
"7436","Mono:TNFSF10_HSPC:TNFRSF10A","Mono","TNFSF10","HSPC","TNFRSF10A",NA,NA,NA,NA
"7437","Mono:TNFSF10_HSPC:TNFRSF10B","Mono","TNFSF10","HSPC","TNFRSF10B",NA,NA,NA,NA
"7438","Mono:TNFSF13_HSPC:FAS","Mono","TNFSF13","HSPC","FAS",NA,NA,NA,NA
"7439","Mono:TNFSF13_HSPC:TNFRSF14","Mono","TNFSF13","HSPC","TNFRSF14",NA,NA,NA,NA
"7440","Mono:TNFSF13_HSPC:TNFRSF1A","Mono","TNFSF13","HSPC","TNFRSF1A",NA,NA,NA,NA
"7441","Mono:TNFSF9_HSPC:HLA-DPA1","Mono","TNFSF9","HSPC","HLA-DPA1",0,NA,0.300259973642047,NA
"7442","Mono:TNFSF9_HSPC:TRAF2","Mono","TNFSF9","HSPC","TRAF2",0,NA,0.300259973642047,NA
"7443","Mono:TOR2A_HSPC:ATP5F1B","Mono","TOR2A","HSPC","ATP5F1B",NA,NA,NA,NA
"7444","Mono:TRIP6_HSPC:ENG","Mono","TRIP6","HSPC","ENG",NA,NA,NA,NA
"7445","Mono:TSPAN3_HSPC:ADAM10","Mono","TSPAN3","HSPC","ADAM10",NA,NA,NA,NA
"7446","Mono:TYK2_HSPC:IFNAR1","Mono","TYK2","HSPC","IFNAR1",NA,NA,NA,NA
"7447","Mono:TYK2_HSPC:IFNAR2","Mono","TYK2","HSPC","IFNAR2",NA,NA,NA,NA
"7448","Mono:TYK2_HSPC:JAK1","Mono","TYK2","HSPC","JAK1",NA,NA,NA,NA
"7449","Mono:TYROBP_HSPC:TREM1","Mono","TYROBP","HSPC","TREM1",NA,NA,NA,NA
"7450","Mono:UBA52_HSPC:ACVR1","Mono","UBA52","HSPC","ACVR1",NA,NA,NA,NA
"7451","Mono:UBA52_HSPC:LDLR","Mono","UBA52","HSPC","LDLR",NA,NA,NA,NA
"7452","Mono:UBA52_HSPC:SMAD3","Mono","UBA52","HSPC","SMAD3",NA,NA,NA,NA
"7453","Mono:UBA52_HSPC:TGFBR2","Mono","UBA52","HSPC","TGFBR2",NA,NA,NA,NA
"7454","Mono:UBA52_HSPC:TLR4","Mono","UBA52","HSPC","TLR4",NA,NA,NA,NA
"7455","Mono:UBB_HSPC:LDLR","Mono","UBB","HSPC","LDLR",NA,NA,NA,NA
"7456","Mono:UBB_HSPC:SMAD3","Mono","UBB","HSPC","SMAD3",NA,NA,NA,NA
"7457","Mono:UBB_HSPC:TGFBR2","Mono","UBB","HSPC","TGFBR2",NA,NA,NA,NA
"7458","Mono:UBB_HSPC:TLR4","Mono","UBB","HSPC","TLR4",NA,NA,NA,NA
"7459","Mono:UBC_HSPC:LDLR","Mono","UBC","HSPC","LDLR",NA,NA,NA,NA
"7460","Mono:UBC_HSPC:SMAD3","Mono","UBC","HSPC","SMAD3",NA,NA,NA,NA
"7461","Mono:UBC_HSPC:TGFBR2","Mono","UBC","HSPC","TGFBR2",NA,NA,NA,NA
"7462","Mono:UBC_HSPC:TLR4","Mono","UBC","HSPC","TLR4",NA,NA,NA,NA
"7463","Mono:VCAN_HSPC:CD44","Mono","VCAN","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7464","Mono:VCAN_HSPC:ITGA4","Mono","VCAN","HSPC","ITGA4",NA,NA,NA,NA
"7465","Mono:VCAN_HSPC:SELL","Mono","VCAN","HSPC","SELL",NA,NA,NA,NA
"7466","Mono:VCAN_HSPC:SELPLG","Mono","VCAN","HSPC","SELPLG",NA,NA,NA,NA
"7467","Mono:VEGFA_HSPC:CD44","Mono","VEGFA","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7468","Mono:VEGFA_HSPC:ITGB1","Mono","VEGFA","HSPC","ITGB1",NA,NA,NA,NA
"7469","Mono:VEGFA_HSPC:SIRPA","Mono","VEGFA","HSPC","SIRPA",NA,NA,NA,NA
"7470","Mono:VEGFA_HSPC:VCAN","Mono","VEGFA","HSPC","VCAN",NA,NA,NA,NA
"7471","Mono:VIM_HSPC:CD44","Mono","VIM","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7472","Mono:ZYX_HSPC:ENG","Mono","ZYX","HSPC","ENG",NA,NA,NA,NA
"7473","Gran:ADAM10_HSPC:AXL","Gran","ADAM10","HSPC","AXL",NA,NA,NA,NA
"7474","Gran:ADAM10_HSPC:CADM1","Gran","ADAM10","HSPC","CADM1",NA,NA,NA,NA
"7475","Gran:ADAM10_HSPC:CD44","Gran","ADAM10","HSPC","CD44",NA,2.78177603073879e-82,NA,0.309930995647344
"7476","Gran:ADAM10_HSPC:IL6R","Gran","ADAM10","HSPC","IL6R",NA,NA,NA,NA
