"","interaction","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"8877","Gran:PLAU_T:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.379602786631104,NA,NA,NA,NA,NA
"8878","Ery:AGRN_T:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0909970943189165,NA,NA,NA,NA,NA
"8879","Ery:CD40LG_T:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.370234124156625,NA,0.370234124156625,NA,NA,NA
"8880","Ery:COL6A5_T:CD44",NA,NA,NA,NA,NA,NA,NA,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391
"8881","Ery:NID1_T:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,0.242239482263886,0.242239482263886,0.242239482263886
"8882","Mono:TNFSF14_NK:TNFRSF14",NA,NA,NA,NA,NA,NA,NA,5.76736028145837,NA,NA,NA,NA,NA
"8883","HSPC:FBN1_NK:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.395680851547805,NA,0.395680851547805,NA,NA,0.395680851547805
"8884","Gran:PLAU_NK:IGF2R",NA,NA,NA,NA,NA,NA,NA,1.54940199254397,NA,NA,NA,NA,NA
"8885","Gran:PLAU_NK:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,NA,NA,NA
"8886","Gran:PLAU_NK:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.379602786631104,NA,NA,NA,NA,NA
"8887","B:TIMP2_NK:CD44",NA,NA,NA,NA,NA,NA,NA,0.0491283010293884,NA,NA,NA,NA,NA
"8888","B:TIMP2_NK:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.41280861495873,NA,NA,NA,NA,NA
"8889","Ery:AGRN_NK:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0909970943189165,NA,NA,NA,NA,NA
"8890","Ery:CD40LG_NK:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.370234124156625,NA,0.370234124156625,NA,NA,NA
"8891","Ery:COL6A5_NK:CD44",NA,NA,NA,NA,NA,NA,NA,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391
"8892","Ery:GDF11_NK:ACTR2",NA,NA,NA,NA,NA,NA,NA,0.211603466856076,0.211603466856076,0.211603466856076,0.211603466856076,0.211603466856076,0.211603466856076
"8893","Ery:NID1_NK:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,0.242239482263886,0.242239482263886,0.242239482263886
"8894","Mono:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8895","Mono:IL16_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.436319720360423,NA,NA,0.436319720360423,NA,NA
"8896","Mono:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8897","Mono:ITGA5_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.325909360492427,0.325909360492427,NA,0.325909360492427,NA,NA
"8898","Mono:TNFSF14_B:TNFRSF14",NA,NA,NA,NA,NA,NA,NA,5.76736028145837,NA,NA,NA,NA,NA
"8899","T:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8900","T:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8901","HSPC:FBN1_B:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.395680851547805,NA,0.395680851547805,NA,NA,NA
"8902","HSPC:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8903","HSPC:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8904","HSPC:ITGA5_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.325909360492427,NA,NA,0.325909360492427,NA,NA
"8905","HSPC:LIN7C_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.893667219290126,0.893667219290126,NA,NA,NA,NA
"8906","HSPC:PLTP_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,1.03465253868029,1.03465253868029,NA,NA,NA,NA
"8907","NK:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8908","NK:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8909","DC:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8910","DC:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8911","DC:ITGA5_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.325909360492427,0.325909360492427,NA,NA,NA,NA
"8912","DC:MDK_B:ITGA4",NA,NA,NA,NA,NA,NA,NA,0.400364222008879,NA,NA,NA,NA,NA
"8913","Gran:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8914","Gran:IL16_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.436319720360423,0.436319720360423,NA,0.436319720360423,NA,NA
"8915","Gran:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8916","Gran:ITGA5_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.325909360492427,0.325909360492427,NA,NA,NA,NA
"8917","Gran:LIN7C_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.893667219290126,NA,NA,NA,NA,NA
"8918","Gran:PLAU_B:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,NA,NA,NA
"8919","B:HLA-DRA_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8920","B:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8921","Ery:AGRN_B:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0909970943189165,NA,NA,NA,NA,NA
"8922","Ery:APOE_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.0787158778742951,0.0787158778742951,NA,NA,NA,NA
"8923","Ery:CD40LG_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,NA,NA,NA,NA,NA
"8924","Ery:COL6A5_B:CD44",NA,NA,NA,NA,NA,NA,NA,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391
"8925","Ery:ITGA4_B:CD9",NA,NA,NA,NA,NA,NA,NA,0.192353831875371,0.192353831875371,NA,0.192353831875371,NA,NA
"8926","Ery:LIN7C_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.893667219290126,0.893667219290126,NA,NA,NA,NA
