id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1314,ENSG00000139269,INHBE,INHBE,1159
1315,ENSG00000254647,INS,INS,307
1316,ENSG00000248099,INSL3,INSL3,1093
1317,ENSG00000172410,INSL5,INSL5,2205
1318,ENSG00000171105,INSR,INSR,425
1319,ENSG00000198001,IRAK4,IRAK4,2037
1320,ENSG00000133124,IRS4,IRS4,58
1321,ENSG00000167178,ISLR2,ISLR2,1555
1322,ENSG00000213949,ITGA1,ITGA1,1148
1323,ENSG00000143127,ITGA10,ITGA10,178
1324,ENSG00000137809,ITGA11,ITGA11,2134
1325,ENSG00000164171,ITGA2,ITGA2,673
1326,ENSG00000005961,ITGA2B,ITGA2B,475
1327,ENSG00000005884,ITGA3,ITGA3,820
1328,ENSG00000115232,ITGA4,ITGA4,609
1329,ENSG00000161638,ITGA5,ITGA5,485
1330,ENSG00000091409,ITGA6,ITGA6,774
1331,ENSG00000135424,ITGA7,ITGA7,1350
1332,ENSG00000077943,ITGA8,ITGA8,1118
1333,ENSG00000144668,ITGA9,ITGA9,1355
1334,ENSG00000156886,ITGAD,ITGAD,1330
1335,ENSG00000083457,ITGAE,ITGAE,979
1336,ENSG00000005844,ITGAL,ITGAL,725
1337,ENSG00000169896,ITGAM,ITGAM,566
1338,ENSG00000138448,ITGAV,ITGAV,439
1339,ENSG00000140678,ITGAX,ITGAX,726
1340,ENSG00000150093,ITGB1,ITGB1,422
1341,ENSG00000160255,ITGB2,ITGB2,409
1342,ENSG00000259207,ITGB3,ITGB3,408
1343,ENSG00000142856,ITGB3BP,ITGB3BP,1331
1344,ENSG00000132470,ITGB4,ITGB4,655
1345,ENSG00000082781,ITGB5,ITGB5,685
1346,ENSG00000115221,ITGB6,ITGB6,692
1347,ENSG00000139626,ITGB7,ITGB7,821
1348,ENSG00000105855,ITGB8,ITGB8,822
1349,ENSG00000151655,ITIH2,ITIH2,705
1350,ENSG00000179914,ITLN1,ITLN1,1736
1351,ENSG00000136156,ITM2B,ITM2B,2183
1352,ENSG00000182264,IZUMO1,IZUMO1,1641
1353,ENSG00000101384,JAG1,JAG1,1194
1354,ENSG00000184916,JAG2,JAG2,2176
1355,ENSG00000162434,JAK1,JAK1,779
1356,ENSG00000096968,JAK2,JAK2,144
1357,ENSG00000154721,JAM2,JAM2,1157
1358,ENSG00000166086,JAM3,JAM3,1890
1359,ENSG00000160593,JAML,JAML,1617
1360,ENSG00000070495,JMJD6,JMJD6,1521
1361,ENSG00000111262,KCNA1,KCNA1,1293
1362,ENSG00000177301,KCNA2,KCNA2,659
1363,ENSG00000177272,KCNA3,KCNA3,759
1364,ENSG00000169282,KCNAB1,KCNAB1,1388
1365,ENSG00000102057,KCND1,KCND1,2028
1366,ENSG00000184408,KCND2,KCND2,2067
1367,ENSG00000177807,KCNJ10,KCNJ10,1195
1368,ENSG00000157551,KCNJ15,KCNJ15,1869
1369,ENSG00000168135,KCNJ4,KCNJ4,1055
1370,ENSG00000282076,KCNQ1,KCNQ1,1105
1371,ENSG00000053918,KCNQ1,KCNQ1,1105
1372,ENSG00000185760,KCNQ5,KCNQ5,2013
1373,ENSG00000128052,KDR,KDR,963
1374,ENSG00000197993,KEL,KEL,775
