"interaction_ID","community","CPDB","NicheNet","CellChat"
"Mono:BST2_DC:LILRA4",TRUE,TRUE,FALSE,TRUE
"Mono:THBS1_DC:ITGA4",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:CD47",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:CD36",TRUE,TRUE,FALSE,TRUE
"Mono:TNFSF13_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-C_DC:LILRB2",TRUE,FALSE,FALSE,TRUE
"Mono:PSAP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:TNFSF13B_DC:TFRC",TRUE,TRUE,TRUE,TRUE
"Mono:B2M_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-A_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"Mono:HLA-B_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"Mono:RETN_DC:CAP1",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DQA1_DC:CD4",TRUE,TRUE,FALSE,TRUE
"Mono:HLA-F_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:PTPRJ",TRUE,FALSE,FALSE,FALSE
"Mono:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"Mono:MIF_DC:TNFRSF14",TRUE,FALSE,FALSE,FALSE
"Mono:LGALS9_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"Mono:THBS1_DC:ITGB1",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:CALR_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"Mono:APP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:APP_DC:LRP10",TRUE,FALSE,FALSE,FALSE
"Mono:CALM2_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:CALM1_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:CALM3_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:HSP90B1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:LRPAP1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:HSP90AA1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:PSEN1_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:APP_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:FCGRT_DC:LILRB2",TRUE,TRUE,FALSE,TRUE
"Mono:FCAR_DC:TNFRSF14",TRUE,FALSE,FALSE,FALSE
"Mono:FCAR_DC:CD33",TRUE,FALSE,FALSE,FALSE
"Mono:PILRA_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Mono:THBS1_DC:TGFB1",TRUE,FALSE,FALSE,FALSE
"Mono:FCN1_DC:LRP1",TRUE,TRUE,FALSE,TRUE
"Gran:HLA-DQA1_Mono:CD4",TRUE,FALSE,TRUE,FALSE
"Gran:IL6R_Mono:LILRB1",TRUE,FALSE,FALSE,FALSE
"Gran:LILRB2_Mono:FCAR",TRUE,FALSE,FALSE,FALSE
"Gran:ANXA1_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"Gran:GNAI2_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"Gran:NCSTN_Gran:LRP8",TRUE,FALSE,FALSE,FALSE
"Gran:TLR2_Gran:CD14",TRUE,TRUE,TRUE,TRUE
"Gran:CD14_Gran:PLXND1",TRUE,TRUE,TRUE,TRUE
"Gran:RETN_T:CAP1",TRUE,TRUE,FALSE,TRUE
"Gran:HLA-F_T:CD8B",TRUE,FALSE,FALSE,FALSE
"Gran:CD14_T:ITGB2",TRUE,TRUE,TRUE,TRUE
"Gran:CD14_T:ITGA4",TRUE,TRUE,TRUE,TRUE
"Gran:CD14_T:ITGB1",TRUE,TRUE,TRUE,TRUE
"Gran:HGF_NK:CD44",TRUE,TRUE,TRUE,TRUE
"Gran:F13A1_NK:ITGB1",TRUE,FALSE,FALSE,FALSE
"Gran:RETN_NK:CAP1",TRUE,TRUE,TRUE,TRUE
"Gran:CLEC11A_NK:ITGB1",TRUE,TRUE,FALSE,TRUE
"Gran:CD14_NK:ITGB2",TRUE,TRUE,FALSE,TRUE
"Gran:PSEN1_NK:CD44",TRUE,TRUE,TRUE,TRUE
"Gran:APP_NK:APLP2",TRUE,FALSE,TRUE,FALSE
"Gran:CD14_NK:ITGA4",TRUE,TRUE,FALSE,TRUE
"Gran:CD14_NK:ITGB1",TRUE,TRUE,FALSE,TRUE
"Gran:RETN_B:CAP1",TRUE,TRUE,FALSE,TRUE
"Gran:CD14_B:ITGA4",TRUE,TRUE,TRUE,TRUE
"Gran:CTSG_HSPC:F2R",TRUE,FALSE,TRUE,FALSE
"Gran:S100A8_HSPC:CD36",TRUE,TRUE,TRUE,FALSE
"Gran:S100A12_HSPC:CD36",TRUE,TRUE,TRUE,FALSE
"Gran:S100A9_HSPC:CD36",TRUE,TRUE,TRUE,FALSE
"Gran:CALR_HSPC:ITGA2B",TRUE,FALSE,FALSE,FALSE
"Gran:PSEN1_HSPC:NOTCH1",TRUE,FALSE,FALSE,FALSE
"Gran:TGFB1_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Gran:GNAI2_HSPC:F2R",TRUE,FALSE,FALSE,FALSE
"Gran:TLR2_HSPC:CD36",TRUE,FALSE,TRUE,FALSE
"Gran:LRPAP1_HSPC:CD320",TRUE,FALSE,FALSE,FALSE
"Gran:FCGRT_HSPC:IGFLR1",TRUE,FALSE,FALSE,FALSE
