"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5663","B:HLA-DQB1_NK:LAG3","B","HLA-DQB1","NK","LAG3",NA,NA,NA,NA
"5664","B:LMAN1_NK:MCFD2","B","LMAN1","NK","MCFD2",NA,NA,NA,NA
"5665","B:LRPAP1_NK:LRP8","B","LRPAP1","NK","LRP8",NA,NA,NA,NA
"5666","B:PECAM1_NK:CD38","B","PECAM1","NK","CD38",NA,NA,NA,NA
"5667","B:PIK3R1_NK:CBL","B","PIK3R1","NK","CBL",NA,NA,NA,NA
"5668","B:PIK3R1_NK:EPN1","B","PIK3R1","NK","EPN1",NA,NA,NA,NA
"5669","B:TSPAN3_NK:ADAM10","B","TSPAN3","NK","ADAM10",NA,NA,NA,NA
"5670","HSPC:ADAM17_NK:ITGB1","HSPC","ADAM17","NK","ITGB1",0.302387400990719,1.09600974672105e-17,NA,NA
"5671","HSPC:ADAM17_NK:RHBDF2","HSPC","ADAM17","NK","RHBDF2",0.302387400990719,1.09600974672105e-17,NA,NA
"5672","HSPC:APP_NK:CD74","HSPC","APP","NK","CD74",NA,NA,NA,NA
"5673","HSPC:APP_NK:PTGER2","HSPC","APP","NK","PTGER2",NA,NA,NA,NA
"5674","HSPC:APP_NK:RPSA","HSPC","APP","NK","RPSA",NA,NA,NA,NA
"5675","HSPC:CD34_NK:SELL","HSPC","CD34","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17
"5676","HSPC:CFH_NK:SELL","HSPC","CFH","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17
"5677","HSPC:CTSG_NK:F2R","HSPC","CTSG","NK","F2R",NA,NA,NA,NA
"5678","HSPC:GP1BB_NK:ITGB2","HSPC","GP1BB","NK","ITGB2",-0.473073360842246,2.21895410888982e-82,0.351136632092222,1.82603228085644e-30
"5679","HSPC:ITGB2_NK:CD226","HSPC","ITGB2","NK","CD226",NA,NA,NA,NA
"5680","HSPC:LGALS9_NK:HAVCR2","HSPC","LGALS9","NK","HAVCR2",NA,NA,NA,NA
"5681","HSPC:LMAN1_NK:MCFD2","HSPC","LMAN1","NK","MCFD2",NA,NA,NA,NA
"5682","HSPC:LRPAP1_NK:LRP8","HSPC","LRPAP1","NK","LRP8",NA,NA,NA,NA
"5683","HSPC:RPS27A_NK:TGFBR2","HSPC","RPS27A","NK","TGFBR2",NA,NA,NA,NA
"5684","HSPC:SPTAN1_NK:PTPRA","HSPC","SPTAN1","NK","PTPRA",NA,NA,NA,NA
"5685","HSPC:TGFB1_NK:CXCR4","HSPC","TGFB1","NK","CXCR4",NA,NA,0.684933591009605,2.59210809391002e-128
"5686","HSPC:TGFB1_NK:ITGB1","HSPC","TGFB1","NK","ITGB1",NA,NA,NA,NA
"5687","HSPC:TGFB1_NK:LPP","HSPC","TGFB1","NK","LPP",NA,NA,NA,NA
"5688","HSPC:TGFB1_NK:TGFBR2","HSPC","TGFB1","NK","TGFBR2",NA,NA,NA,NA
"5689","HSPC:TGFB1_NK:TGFBR3","HSPC","TGFB1","NK","TGFBR3",NA,NA,NA,NA
"5690","HSPC:UBB_NK:TGFBR2","HSPC","UBB","NK","TGFBR2",NA,NA,NA,NA
"5691","HSPC:UBC_NK:TGFBR2","HSPC","UBC","NK","TGFBR2",NA,NA,NA,NA
