"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"2593","Mono:FYN_Ery:SPN",0.312,0.157,0.393,0.465,0.418,0.248,0,0.509,0.499,0.705,0.772,0.77,0.754
"2594","NK:FYN_Ery:SPN",0.533,0,0.594,0.874,0.573,0.392,0,0.798,0.875,0.925,1.062,1.002,0.943
"2595","T:FYN_Ery:SPN",0.406,0.402,0.552,0.733,0.533,0.369,0,0.694,0.714,0.928,0.866,0.904,0.97
"2596","DC:ICAM1_DC:ITGAL",0.161,0,0.253,0,0,0,0.13,0,0,0.13,0,0.177,0
"2597","Gran:ICAM1_DC:ITGAL",0.095,0,0,0,0,0,0.194,0,0,0,0,0,0
"2598","Mono:ICAM1_DC:ITGAL",0.198,0.272,0.424,0.417,0,0,0.224,0,0,0.122,0,0,0
"2599","NK:ICAM1_DC:ITGAL",0,0,0.273,0,0,0,0,0,0,0,0,0,0
"2600","B:ICAM2_DC:ITGAL",0,0,0,0.432,0,0,0,0,0,0.163,0.225,0.231,0
"2601","DC:ICAM2_DC:ITGAL",0,0.204,0,0.505,0,0,0,0,0,0.199,0.208,0.215,0
"2602","Ery:ICAM2_DC:ITGAL",0,0,0.231,0.362,0,0,0,0,0,0.206,0.214,0.236,0.262
"2603","Gran:ICAM2_DC:ITGAL",0.26,0.25,0,0.54,0,0,0,0,0,0.154,0.201,0.213,0
"2604","HSPC:ICAM2_DC:ITGAL",0.289,0.224,0.264,0.453,0,0,0,0,0,0.223,0.328,0.31,0.249
"2605","Mono:ICAM2_DC:ITGAL",0.329,0.234,0,0.617,0,0,0,0,0,0.209,0.242,0.275,0
"2606","NK:ICAM2_DC:ITGAL",0.142,0,0,0.556,0,0,0,0,0,0.218,0.356,0.323,0
"2607","T:ICAM2_DC:ITGAL",0.147,0,0,0.498,0,0,0,0,0,0.178,0.252,0.257,0
"2609","Gran:CD14_DC:TLR9",0,0,0,0,0,0,0,0,0,0,0.514,0,0
"2841","HSPC:HLA-A_B:LILRB1",0,0,0,0.631,0,0,1.134,0,0,0,0,0,0
"2842","HSPC:HLA-A_DC:LILRB1",1.177,0,1.108,0.569,0,1.127,0,0,0,0.75,0.92,0.981,1.058
"2843","HSPC:HLA-A_Ery:LILRB1",1.048,0,0,0,0,0,0,0,0,0,0,0,0
"2844","HSPC:HLA-A_Gran:LILRB1",1.02,0,0,0,0,0,0,0,0,0,0.827,0,0
