"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"108","DC:ADAM17_Gran:ITGB1","DC","ADAM17","Gran","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"109","Gran:ADAM17_Gran:ITGB1","Gran","ADAM17","Gran","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
"110","HSPC:ADAM17_Gran:ITGB1","HSPC","ADAM17","Gran","ITGB1",0.302387400990719,0.302387400990719,NA,NA,"down"
"111","Mono:ADAM17_Gran:ITGB1","Mono","ADAM17","Gran","ITGB1",0.277308065838134,0.277308065838134,NA,NA,"down"
"112","DC:ADAM17_HSPC:ITGB1","DC","ADAM17","HSPC","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"113","Gran:ADAM17_HSPC:ITGB1","Gran","ADAM17","HSPC","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
"114","HSPC:ADAM17_HSPC:ITGB1","HSPC","ADAM17","HSPC","ITGB1",0.302387400990719,0.302387400990719,NA,NA,"down"
"115","Mono:ADAM17_HSPC:ITGB1","Mono","ADAM17","HSPC","ITGB1",0.277308065838134,0.277308065838134,NA,NA,"down"
"116","DC:ADAM17_Mono:ITGB1","DC","ADAM17","Mono","ITGB1",0.277502813517776,0.277502813517776,NA,NA,"down"
"117","Gran:ADAM17_Mono:ITGB1","Gran","ADAM17","Mono","ITGB1",0.278911916006783,0.278911916006783,NA,NA,"down"
