"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"378","DC:CD36_DC:TLR4","DC","CD36","DC","TLR4",0.315011699332806,0.315011699332806,NA,NA,"down"
"379","Mono:CD36_DC:TLR4","Mono","CD36","DC","TLR4",0.386694050904892,0.386694050904892,NA,NA,"down"
"380","DC:CD36_Ery:TLR4","DC","CD36","Ery","TLR4",0.315011699332806,0.315011699332806,NA,NA,"up"
"381","Mono:CD36_Ery:TLR4","Mono","CD36","Ery","TLR4",0.386694050904892,0.386694050904892,NA,NA,"up"
"382","DC:CD36_Gran:TLR4","DC","CD36","Gran","TLR4",0.315011699332806,0.315011699332806,NA,NA,"down"
"383","Mono:CD36_Gran:TLR4","Mono","CD36","Gran","TLR4",0.386694050904892,0.386694050904892,NA,NA,"down"
"384","DC:CD36_HSPC:TLR4","DC","CD36","HSPC","TLR4",0.315011699332806,0.315011699332806,NA,NA,"down"
"385","Mono:CD36_HSPC:TLR4","Mono","CD36","HSPC","TLR4",0.386694050904892,0.386694050904892,NA,NA,"down"
"386","DC:CD36_Mono:TLR4","DC","CD36","Mono","TLR4",0.315011699332806,0.315011699332806,NA,NA,"down"
"387","Mono:CD36_Mono:TLR4","Mono","CD36","Mono","TLR4",0.386694050904892,0.386694050904892,NA,NA,"down"
"388","B:CXCR4_B:CCR7","B","CXCR4","B","CCR7",0.356729165996238,0.356729165996238,NA,NA,"down"
"389","Mono:CXCR4_B:CCR7","Mono","CXCR4","B","CCR7",0.46709616608103,0.46709616608103,NA,NA,"down"
"390","NK:CXCR4_B:CCR7","NK","CXCR4","B","CCR7",0.684933591009605,0.684933591009605,NA,NA,"up"
"391","T:CXCR4_B:CCR7","T","CXCR4","B","CCR7",0.628054108893849,0.628054108893849,NA,NA,"down"
"392","B:CXCR4_DC:CCR7","B","CXCR4","DC","CCR7",0.356729165996238,0.356729165996238,NA,NA,"down"
"393","Mono:CXCR4_DC:CCR7","Mono","CXCR4","DC","CCR7",0.46709616608103,0.46709616608103,NA,NA,"down"
"394","NK:CXCR4_DC:CCR7","NK","CXCR4","DC","CCR7",0.684933591009605,0.684933591009605,NA,NA,"up"
"395","T:CXCR4_DC:CCR7","T","CXCR4","DC","CCR7",0.628054108893849,0.628054108893849,NA,NA,"down"
"396","B:CXCR4_T:CCR7","B","CXCR4","T","CCR7",0.356729165996238,0.356729165996238,NA,NA,"down"
"397","Mono:CXCR4_T:CCR7","Mono","CXCR4","T","CCR7",0.46709616608103,0.46709616608103,NA,NA,"down"
"398","NK:CXCR4_T:CCR7","NK","CXCR4","T","CCR7",0.684933591009605,0.684933591009605,NA,NA,"down"
"399","T:CXCR4_T:CCR7","T","CXCR4","T","CCR7",0.628054108893849,0.628054108893849,NA,NA,"down"
"400","DC:THBS1_NK:TGFB1","DC","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
"401","Ery:THBS1_NK:TGFB1","Ery","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"up"
"402","Gran:THBS1_NK:TGFB1","Gran","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
"403","Mono:THBS1_NK:TGFB1","Mono","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
"404","NK:THBS1_NK:TGFB1","NK","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
"405","T:THBS1_NK:TGFB1","T","THBS1","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
"406","DC:THBS1_T:TGFB1","DC","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"407","Ery:THBS1_T:TGFB1","Ery","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"up"
"408","Gran:THBS1_T:TGFB1","Gran","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"409","Mono:THBS1_T:TGFB1","Mono","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"410","NK:THBS1_T:TGFB1","NK","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"411","T:THBS1_T:TGFB1","T","THBS1","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"412","DC:INHBA_NK:TGFB1","DC","INHBA","NK","TGFB1",NA,NA,0.395285963472931,7.68585727178364e-43,"down"
