,ID,community,CPDB,NicheNet
1866,NLGN3,True,False,True
1867,MC4R,True,True,True
1868,WNT16,True,True,False
1869,NID2,True,False,False
1870,FGF16,True,False,True
1871,CD34,True,True,True
1872,ANGPTL7,True,False,False
1873,PRNP,True,False,True
1874,SLC4A11,True,False,False
1875,PKD1,False,False,True
1876,LTBP3,True,False,False
1877,KLRF1,True,True,False
1878,FAM187B,True,False,False
1879,LPA,True,False,False
1880,EPHB6,True,True,True
1881,CHRM2,False,True,True
1882,IL10RA,True,True,True
1883,WNT2B,True,True,False
1884,PTGER3,True,True,True
1885,DEFB4B,True,False,True
1886,RNASET2,False,True,False
1887,P2RY2,False,False,True
1888,ROBO2,True,True,True
1889,FAP,True,False,False
1890,FTH1,False,True,False
1891,AMHR2,True,True,True
1892,TEK,True,True,True
1893,CLDN8,True,False,False
1894,CHRNB4,True,True,False
1895,NOTCH3,True,True,True
1896,RXFP1,True,True,True
1897,SEMA6A,True,True,False
1898,NCOR1,True,False,False
1899,MANSC1,True,False,False
1900,BMP10,True,True,True
1901,PPARG,False,True,False
1902,DHRS9,False,True,False
1903,PTPRM,True,False,True
1904,MDGA1,True,False,False
1905,IL36G,True,True,True
1906,NDP,True,True,True
1907,SIGLEC5,True,False,False
1908,RTN4R,True,False,True
1909,OPRK1,True,True,True
1910,PCDHA11,False,False,True
1911,ICAM1,True,True,True
1912,GPR75,True,True,True
1913,CANX,True,False,False
1914,FARP2,True,False,False
1915,HAMP,False,False,True
1916,SIRPA,True,True,False
1917,ACVR2A,True,True,True
1918,ORAI2,True,False,False
1919,CD99L2,True,False,False
1920,GFRA2,True,True,True
1921,CLEC12B,True,False,False
1922,GUCY2F,True,False,False
1923,S100A10,True,False,False
1924,PTGIS,False,True,False
1925,UBB,True,False,False
1926,SLC3A2,True,False,False
1927,FST,True,False,False
1928,SLC18A2,True,False,False
1929,IL12B,True,True,True
1930,UBC,True,False,False
1931,ITGB4,True,True,True
