7SK
A1BG
A1BG-AS1
A1CF
A2M
A2M-AS1
A2ML1
A4GALT
AAAS
AACS
AADAC
AADAT
AAED1
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARD
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB11
ABCB4
ABCB5
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG5
ABCG8
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17B
ABHD17C
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABT1
ABTB1
ABTB2
AC000003.2
AC000068.10
AC000068.5
AC000068.9
AC002044.4
AC002059.10
AC002116.7
AC002117.1
AC002306.1
AC002310.12
AC002310.7
AC002331.1
AC002398.11
AC002451.3
AC002454.1
AC002467.7
AC002472.13
AC002550.5
AC003051.1
AC003075.4
AC003090.1
AC003102.3
AC003104.1
AC003665.1
AC003956.1
AC003991.3
AC004009.3
AC004012.1
AC004053.1
AC004069.2
AC004156.3
AC004158.2
AC004231.2
AC004257.1
AC004257.3
AC004381.6
AC004447.2
AC004463.6
AC004466.1
AC004490.1
AC004510.3
AC004528.4
AC004540.4
AC004540.5
AC004775.5
AC004791.2
AC004854.4
AC004870.4
AC004878.8
AC004893.11
AC004941.3
AC004951.6
AC004988.1
AC005003.1
AC005037.3
AC005062.2
AC005076.5
AC005082.12
AC005083.1
AC005152.2
AC005154.6
AC005224.2
AC005253.2
AC005256.1
AC005306.3
AC005307.1
AC005329.7
AC005339.2
AC005355.2
AC005356.1
AC005498.3
AC005523.2
AC005523.3
AC005537.2
AC005540.3
AC005550.3
AC005562.1
AC005609.1
AC005614.3
AC005616.2
AC005618.6
AC005682.5
AC005785.2
AC005789.11
AC005943.4
AC005943.5
AC005944.2
AC005954.4
AC006050.2
AC006116.17
AC006116.20
AC006129.2
AC006129.4
AC006132.1
AC006160.5
AC006273.5
AC006273.7
AC006277.2
AC006369.2
AC006486.1
AC006538.1
AC006547.15
AC006942.4
AC006953.1
AC006967.1
AC006994.2
AC007009.1
AC007036.4
AC007036.6
AC007038.7
AC007040.11
AC007092.1
AC007099.1
AC007161.5
AC007182.6
AC007228.11
AC007228.9
AC007246.3
AC007255.8
AC007292.3
AC007292.4
AC007292.6
AC007308.6
AC007365.3
AC007382.1
AC007383.3
AC007383.4
AC007386.2
AC007390.5
AC007401.2
AC007405.2
AC007405.6
AC007551.3
AC007563.5
AC007620.3
AC007679.3
AC007743.1
AC007773.2
AC007879.2
AC007952.5
AC008074.3
AC008132.13
AC008174.3
AC008267.1
AC008443.1
AC008746.12
AC008753.6
AC008982.2
AC009005.2
AC009014.3
AC009120.10
AC009120.6
AC009133.12
AC009133.14
AC009133.17
AC009133.20
AC009133.21
AC009236.1
AC009299.3
AC009336.24
AC009403.2
AC009404.2
AC009410.1
AC009473.1
AC009480.3
AC009495.2
AC009501.4
AC009506.1
AC009948.5
AC009950.2
AC009961.3
AC010127.3
AC010148.1
AC010226.4
AC010327.2
AC010336.1
AC010536.1
AC010642.1
AC010745.1
AC010761.8
AC010883.5
AC010894.3
AC010907.2
AC010982.1
AC011043.1
AC011298.2
AC011523.2
AC011526.1
AC011551.3
AC011558.5
AC011718.2
AC011747.4
AC011747.7
AC011753.5
AC011754.1
AC011841.1
AC011891.5
AC011997.1
AC012146.7
AC012307.3
AC012309.5
AC012314.8
AC012317.1
AC012358.8
AC012360.4
AC012370.2
AC012442.6
AC012499.1
AC012507.3
AC013264.2
AC013268.5
AC013394.2
AC013449.1
AC015691.13
AC015849.13
AC015849.19
AC015987.1
AC016405.2
AC016586.1
AC016629.8
AC016683.6
AC016700.3
AC016700.5
AC016722.1
AC016725.4
AC016735.2
AC016747.3
AC016757.3
AC016831.7
AC016907.3
AC017002.1
AC017002.2
AC017048.3
AC017048.4
AC017074.2
AC017099.3
AC017104.6
AC018506.1
AC018737.1
AC018755.1
AC018816.3
AC019185.4
AC019221.4
AC019330.1
AC019330.2
AC020571.3
AC020629.1
AC020743.2
AC021016.6
AC021218.2
AC021224.1
AC021860.1
AC022007.5
AC022154.7
AC022182.1
AC022182.3
AC022400.2
AC022431.3
AC022498.1
AC022532.1
AC022819.3
AC023347.1
AC023490.1
AC023590.1
AC024560.2
AC024592.12
AC024592.9
AC024940.1
AC025171.1
AC025278.1
AC025335.1
AC026150.5
AC026202.1
AC026202.3
AC026471.6
AC026740.1
AC026806.2
AC027307.3
AC027763.2
AC034220.3
AC034243.1
AC040977.1
AC046143.3
AC053503.4
AC061992.2
AC062017.1
AC062029.1
AC064834.1
AC066593.1
AC068039.4
AC068282.3
AC068499.10
AC068620.1
AC068706.2
AC068831.10
AC068831.6
AC069277.2
AC069278.4
AC069363.1
AC069513.4
AC072062.1
AC073043.1
AC073133.1
AC073133.2
AC073254.1
AC073283.4
AC073283.7
AC073657.1
AC074091.13
AC074117.10
AC074138.3
AC074183.4
AC074212.5
AC074212.6
AC074286.1
AC074289.1
AC074363.1
AC074389.9
AC078852.2
AC078883.3
AC078883.4
AC079210.1
AC079305.10
AC079354.1
AC079354.5
AC079602.1
AC079767.4
AC079779.4
AC079807.2
AC079922.3
AC083843.1
AC083884.8
AC083900.1
AC084018.1
AC084219.4
AC084809.2
AC084809.3
AC087294.2
AC087645.1
AC090186.1
AC090505.4
AC090587.2
AC090587.5
AC090616.2
AC090673.1
AC091729.9
AC092071.1
AC092168.2
AC092295.7
AC092301.3
AC092535.3
AC092574.2
AC092580.4
AC092594.1
AC092620.2
AC092652.1
AC092669.3
AC093157.1
AC093323.3
AC093375.1
AC093382.1
AC093388.3
AC093391.2
AC093415.2
AC093495.4
AC093585.6
AC093609.1
AC093627.10
AC093627.9
AC093642.3
AC093673.5
AC093802.1
AC093818.1
AC093901.1
AC096559.1
AC096579.13
AC096579.7
AC096655.2
AC096772.6
AC097467.2
AC097468.4
AC097500.2
AC097662.2
AC097721.2
AC097724.3
AC098820.3
AC099850.1
AC100830.3
AC100830.4
AC104024.1
AC104135.3
AC104532.4
AC104653.1
AC104654.1
AC104655.3
AC104667.3
AC104695.3
AC104699.1
AC104820.2
AC104841.2
AC105020.1
AC105339.1
AC105344.2
AC105402.4
AC105760.2
AC106753.1
AC106876.2
AC107081.5
AC108004.2
AC108142.1
AC108488.3
AC108488.4
AC109826.1
AC109828.1
AC110619.2
AC112229.7
AC112693.2
AC113189.5
AC114730.3
AC115618.1
AC116035.1
AC116366.6
AC116533.3
AC117395.1
AC120194.1
AC124789.1
AC124944.3
AC124944.5
AC126614.1
AC127496.1
AC127904.2
AC129492.6
AC131025.8
AC131056.3
AC131056.5
AC132186.1
AC132192.1
AC132872.2
AC133528.2
AC135048.13
AC135178.1
AC135983.2
AC137932.1
AC137934.1
AC138655.1
AC138969.4
AC139100.2
AC140481.2
AC140912.1
AC142119.1
AC142528.1
AC144449.1
AC144450.2
AC144521.1
AC144652.1
AC144831.1
AC144835.1
AC145110.1
AC145212.1
AC145343.2
AC147651.3
AC147651.4
AC147651.5
AC156455.1
AC159540.1
AC187652.1
AC226119.5
ACA64
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACBD7
ACCS
ACD
ACE
ACE2
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR2
ACKR3
ACKR4
ACLY
ACN9
ACO1
ACO2
ACOT1
ACOT11
ACOT13
ACOT2
ACOT4
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP1
ACP2
ACP5
ACP6
ACPL2
ACPP
ACR
ACRBP
ACRC
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM2A
ACSM3
ACSM5
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTB
ACTG1
ACTG2
ACTL10
ACTL6A
ACTL8
ACTN1
ACTN1-AS1
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR5
ACTR6
ACTR8
ACTRT3
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVR2B-AS1
ACVRL1
ACY1
ACY3
ACYP1
ACYP2
AD000090.2
AD000684.2
ADA
ADAL
ADAM10
ADAM12
ADAM15
ADAM17
ADAM19
ADAM22
ADAM23
ADAM28
ADAM29
ADAM32
ADAM33
ADAM8
ADAM9
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS17
ADAMTS19
ADAMTS2
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTS9-AS2
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAMTSL4-AS1
ADAMTSL5
ADAP1
ADAP2
ADAR
ADARB1
ADAT1
ADAT2
ADAT3
ADC
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
ADCY1
ADCY10
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY9
ADCYAP1
ADD1
ADD2
ADD3
ADGB
ADH1A
ADH1B
ADH4
ADH5
ADH6
ADHFE1
ADI1
ADIPOR1
ADIPOR2
ADIRF
ADIRF-AS1
ADK
ADM
ADM2
ADM5
ADNP
ADNP2
ADO
ADORA1
ADORA2A-AS1
ADORA2B
ADORA3
ADPGK
ADPGK-AS1
ADPRH
ADPRHL1
ADPRHL2
ADPRM
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRBK1
ADRBK2
ADRM1
ADSL
ADSS
ADSSL1
ADTRP
AE000661.37
AE000662.92
AE000662.93
AEBP1
AEBP2
AEN
AES
AF001548.5
AF011889.2
AF064858.6
AF064858.8
AF064860.7
AF121898.3
AF127577.8
AF127936.3
AF127936.7
AF129075.5
AF129408.17
AF131215.2
AF131215.3
AF131215.4
AF131215.5
AF131215.8
AF131215.9
AF131217.1
AF186192.1
AF196972.9
AF213884.2
AF235103.1
AFAP1
AFAP1-AS1
AFAP1L1
AFAP1L2
AFF1
AFF3
AFF4
AFG3L2
AFMID
AFP
AFTPH
AGA
AGAP1
AGAP1-IT1
AGAP10
AGAP2
AGAP2-AS1
AGAP3
AGAP4
AGAP6
AGAP8
AGBL2
AGBL3
AGBL4
