"","X","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","mean_case","mean_control","log2","sender_log2FC","receiver_log2FC"
"822",822,"T:TGFB1_Ery:TGFBR1","T","TGFB1","Ery","TGFBR1",0.159,0.181,-0.18696293179885,0.27420084052862,NA
"823",823,"T:TGFB1_Gran:TGFBR1","T","TGFB1","Gran","TGFBR1",0.279714285714286,0.210333333333333,0.411276433284698,0.27420084052862,NA
"824",824,"T:TGFB1_HSPC:TGFBR1","T","TGFB1","HSPC","TGFBR1",0.274571428571429,0.1965,0.48265219645754,0.27420084052862,NA
"825",825,"T:TGFB1_Mono:TGFBR1","T","TGFB1","Mono","TGFBR1",0.279714285714286,0.204666666666667,0.450677782897068,0.27420084052862,NA
"826",826,"T:TGFB1_NK:TGFBR1","T","TGFB1","NK","TGFBR1",0.301666666666667,0.208166666666667,0.53521622036261,0.27420084052862,NA
"827",827,"T:TGFB1_T:TGFBR1","T","TGFB1","T","TGFBR1",0.268857142857143,0.1955,0.45967119336358,0.27420084052862,NA
"828",828,"NK:TGFB1_Gran:ACVRL1","NK","TGFB1","Gran","ACVRL1",0.261,0.295333333333333,-0.178294391263978,0.295412803381332,NA
"830",830,"T:TGFB1_Gran:ACVRL1","T","TGFB1","Gran","ACVRL1",0.185,0.1795,0.0435414266932608,0.27420084052862,NA
"832",832,"NK:TGFB1_B:TGFBR2","NK","TGFB1","B","TGFBR2",0.457666666666667,0.379,0.272099371254853,0.295412803381332,NA
"833",833,"NK:TGFB1_DC:TGFBR2","NK","TGFB1","DC","TGFBR2",0.5042,0.4015,0.328596130453863,0.295412803381332,NA
"834",834,"NK:TGFB1_Ery:TGFBR2","NK","TGFB1","Ery","TGFBR2",0.3564,0.256333333333333,0.47547623939389,0.295412803381332,NA
"835",835,"NK:TGFB1_Gran:TGFBR2","NK","TGFB1","Gran","TGFBR2",0.355833333333333,0.344666666666667,0.0459998841929182,0.295412803381332,NA
"836",836,"NK:TGFB1_HSPC:TGFBR2","NK","TGFB1","HSPC","TGFBR2",0.416166666666667,0.330833333333333,0.331056813897892,0.295412803381332,NA
"837",837,"NK:TGFB1_Mono:TGFBR2","NK","TGFB1","Mono","TGFBR2",0.442333333333333,0.377,0.230569441380373,0.295412803381332,NA
"838",838,"NK:TGFB1_NK:TGFBR2","NK","TGFB1","NK","TGFBR2",0.443666666666667,0.344,0.367067600488638,0.295412803381332,NA
"839",839,"NK:TGFB1_T:TGFBR2","NK","TGFB1","T","TGFBR2",0.456666666666667,0.3875,0.236945176965133,0.295412803381332,NA
"840",840,"T:TGFB1_B:TGFBR2","T","TGFB1","B","TGFBR2",0.365428571428571,0.263166666666667,0.473612671684952,0.27420084052862,NA
"841",841,"T:TGFB1_DC:TGFBR2","T","TGFB1","DC","TGFBR2",0.3955,0.285666666666667,0.469344991081448,0.27420084052862,NA
"842",842,"T:TGFB1_Ery:TGFBR2","T","TGFB1","Ery","TGFBR2",0.272333333333333,0.157166666666667,0.793078307470587,0.27420084052862,NA
"843",843,"T:TGFB1_Gran:TGFBR2","T","TGFB1","Gran","TGFBR2",0.279,0.228833333333333,0.285967902403243,0.27420084052862,NA
"844",844,"T:TGFB1_HSPC:TGFBR2","T","TGFB1","HSPC","TGFBR2",0.322571428571429,0.215333333333333,0.583046994742628,0.27420084052862,NA
"845",845,"T:TGFB1_Mono:TGFBR2","T","TGFB1","Mono","TGFBR2",0.347428571428571,0.261166666666667,0.411745627634557,0.27420084052862,NA
"846",846,"T:TGFB1_NK:TGFBR2","T","TGFB1","NK","TGFBR2",0.3565,0.228166666666667,0.643814035907145,0.27420084052862,NA
"847",847,"T:TGFB1_T:TGFBR2","T","TGFB1","T","TGFBR2",0.359285714285714,0.272,0.401524921384946,0.27420084052862,NA
"848",848,"NK:TGFB1_B:SMAD3","NK","TGFB1","B","SMAD3",0.4275,0.326666666666667,0.388105171491846,0.295412803381332,NA
"849",849,"NK:TGFB1_DC:SMAD3","NK","TGFB1","DC","SMAD3",0.4712,0.32,0.558267634055736,0.295412803381332,NA
"850",850,"NK:TGFB1_Ery:SMAD3","NK","TGFB1","Ery","SMAD3",0.368,0.311666666666667,0.23970190200317,0.295412803381332,NA
"851",851,"NK:TGFB1_Gran:SMAD3","NK","TGFB1","Gran","SMAD3",0.471833333333333,0.316666666666667,0.575312330687437,0.295412803381332,NA
"852",852,"NK:TGFB1_HSPC:SMAD3","NK","TGFB1","HSPC","SMAD3",0.411,0.328166666666667,0.324709688501285,0.295412803381332,NA
"853",853,"NK:TGFB1_Mono:SMAD3","NK","TGFB1","Mono","SMAD3",0.463666666666667,0.3355,0.466775247620899,0.295412803381332,NA
"854",854,"NK:TGFB1_NK:SMAD3","NK","TGFB1","NK","SMAD3",0.409666666666667,0.311666666666667,0.394446645597663,0.295412803381332,NA
"855",855,"NK:TGFB1_T:SMAD3","NK","TGFB1","T","SMAD3",0.409666666666667,0.313333333333333,0.386752253807662,0.295412803381332,NA
"856",856,"T:TGFB1_B:SMAD3","T","TGFB1","B","SMAD3",0.328714285714286,0.210666666666667,0.641872098710539,0.27420084052862,NA
"857",857,"T:TGFB1_DC:SMAD3","T","TGFB1","DC","SMAD3",0.3625,0.204,0.829411842930801,0.27420084052862,NA
"858",858,"T:TGFB1_Ery:SMAD3","T","TGFB1","Ery","SMAD3",0.274333333333333,0.195833333333333,0.486303578969263,0.27420084052862,NA
"859",859,"T:TGFB1_Gran:SMAD3","T","TGFB1","Gran","SMAD3",0.372428571428571,0.201,0.889768254299024,0.27420084052862,NA
"860",860,"T:TGFB1_HSPC:SMAD3","T","TGFB1","HSPC","SMAD3",0.316285714285714,0.2125,0.573765553698884,0.27420084052862,NA
"861",861,"T:TGFB1_Mono:SMAD3","T","TGFB1","Mono","SMAD3",0.367571428571429,0.2195,0.743803690140837,0.27420084052862,NA
"862",862,"T:TGFB1_NK:SMAD3","T","TGFB1","NK","SMAD3",0.3225,0.195833333333333,0.719672809579411,0.27420084052862,NA
"863",863,"T:TGFB1_T:SMAD3","T","TGFB1","T","SMAD3",0.317142857142857,0.197333333333333,0.684498174272071,0.27420084052862,NA
"864",864,"NK:TGFB1_DC:TGFBR3","NK","TGFB1","DC","TGFBR3",0.2838,0.290666666666667,-0.0344910448825812,0.295412803381332,NA
"865",865,"NK:TGFB1_NK:TGFBR3","NK","TGFB1","NK","TGFBR3",0.510166666666667,0.3625,0.492987643903539,0.295412803381332,NA
"866",866,"NK:TGFB1_T:TGFBR3","NK","TGFB1","T","TGFBR3",0.447666666666667,0.332333333333333,0.429793895029246,0.295412803381332,NA
"867",867,"T:TGFB1_DC:TGFBR3","T","TGFB1","DC","TGFBR3",0.176666666666667,0.175,0.0136749368970765,0.27420084052862,NA
"868",868,"T:TGFB1_NK:TGFBR3","T","TGFB1","NK","TGFBR3",0.422833333333333,0.2465,0.778501466964871,0.27420084052862,NA
"869",869,"T:TGFB1_T:TGFBR3","T","TGFB1","T","TGFBR3",0.35,0.2165,0.692987897105604,0.27420084052862,NA
"870",870,"NK:TGFB1_Ery:LTBP1","NK","TGFB1","Ery","LTBP1",0.4712,0.396,0.250839108863489,0.295412803381332,NA
"871",871,"NK:TGFB1_HSPC:LTBP1","NK","TGFB1","HSPC","LTBP1",0.405666666666667,0.312833333333333,0.374900517882854,0.295412803381332,NA
"872",872,"T:TGFB1_Ery:LTBP1","T","TGFB1","Ery","LTBP1",0.380333333333333,0.28,0.441837558622559,0.27420084052862,NA
"873",873,"T:TGFB1_HSPC:LTBP1","T","TGFB1","HSPC","LTBP1",0.308857142857143,0.197333333333333,0.646305020769253,0.27420084052862,NA
"874",874,"NK:TGFB1_DC:CD109","NK","TGFB1","DC","CD109",0.2752,0.312166666666667,-0.181836023707154,0.295412803381332,NA
"875",875,"NK:TGFB1_Ery:CD109","NK","TGFB1","Ery","CD109",0.2072,0.255166666666667,-0.30041587397944,0.295412803381332,NA
"876",876,"NK:TGFB1_Gran:CD109","NK","TGFB1","Gran","CD109",0.2915,0.313333333333333,-0.104202372643347,0.295412803381332,NA
"877",877,"NK:TGFB1_HSPC:CD109","NK","TGFB1","HSPC","CD109",0.406666666666667,0.360833333333333,0.172514122836161,0.295412803381332,NA
"878",878,"NK:TGFB1_Mono:CD109","NK","TGFB1","Mono","CD109",0.270333333333333,0.301833333333333,-0.159012726732895,0.295412803381332,NA
"879",879,"T:TGFB1_DC:CD109","T","TGFB1","DC","CD109",0.212666666666667,0.196666666666667,0.112841469515666,0.27420084052862,NA
"880",880,"T:TGFB1_Ery:CD109","T","TGFB1","Ery","CD109",0.108333333333333,0.155833333333333,-0.524526646859182,0.27420084052862,NA
"881",881,"T:TGFB1_Gran:CD109","T","TGFB1","Gran","CD109",0.260571428571429,0.197333333333333,0.401044227199344,0.27420084052862,NA
"882",882,"T:TGFB1_HSPC:CD109","T","TGFB1","HSPC","CD109",0.313428571428571,0.244833333333333,0.356336708510465,0.27420084052862,NA
"883",883,"T:TGFB1_Mono:CD109","T","TGFB1","Mono","CD109",0.208571428571429,0.186,0.165238920601744,0.27420084052862,NA
"884",884,"NK:TGFB1_B:LPP","NK","TGFB1","B","LPP",0.4355,0.346,0.33190068096214,0.295412803381332,NA
"885",885,"NK:TGFB1_DC:LPP","NK","TGFB1","DC","LPP",0.4884,0.374,0.385024930212404,0.295412803381332,NA
"886",886,"NK:TGFB1_Ery:LPP","NK","TGFB1","Ery","LPP",0.2812,0.253833333333333,0.147715058419037,0.295412803381332,NA
"887",887,"NK:TGFB1_Gran:LPP","NK","TGFB1","Gran","LPP",0.4105,0.351666666666667,0.223173628904414,0.295412803381332,NA
"888",888,"NK:TGFB1_HSPC:LPP","NK","TGFB1","HSPC","LPP",0.467,0.342666666666667,0.44661669123694,0.295412803381332,NA
"889",889,"NK:TGFB1_Mono:LPP","NK","TGFB1","Mono","LPP",0.477166666666667,0.372833333333333,0.355962413940234,0.295412803381332,NA
"890",890,"NK:TGFB1_NK:LPP","NK","TGFB1","NK","LPP",0.478166666666667,0.370833333333333,0.366742632027542,0.295412803381332,NA
"891",891,"NK:TGFB1_T:LPP","NK","TGFB1","T","LPP",0.449333333333333,0.343666666666667,0.38677616381375,0.295412803381332,NA
"892",892,"T:TGFB1_B:LPP","T","TGFB1","B","LPP",0.343714285714286,0.2305,0.576443064689134,0.27420084052862,NA
"893",893,"T:TGFB1_DC:LPP","T","TGFB1","DC","LPP",0.3885,0.258166666666667,0.589611860339298,0.27420084052862,NA
"894",894,"T:TGFB1_Ery:LPP","T","TGFB1","Ery","LPP",0.163666666666667,0.154666666666667,0.0815982191871208,0.27420084052862,NA
"895",895,"T:TGFB1_Gran:LPP","T","TGFB1","Gran","LPP",0.330714285714286,0.236,0.486798506728154,0.27420084052862,NA
"896",896,"T:TGFB1_HSPC:LPP","T","TGFB1","HSPC","LPP",0.372285714285714,0.226833333333333,0.714777595727692,0.27420084052862,NA
"897",897,"T:TGFB1_Mono:LPP","T","TGFB1","Mono","LPP",0.383714285714286,0.256833333333333,0.579200021576209,0.27420084052862,NA
"898",898,"T:TGFB1_NK:LPP","T","TGFB1","NK","LPP",0.390666666666667,0.255166666666667,0.61449828692246,0.27420084052862,NA
"899",899,"T:TGFB1_T:LPP","T","TGFB1","T","LPP",0.359285714285714,0.227666666666667,0.658208495066351,0.27420084052862,NA
"900",900,"DC:ICAM1_B:EZR","DC","ICAM1","B","EZR",0.480166666666667,0.375833333333333,0.353442227017127,NA,0.410237390860466
