interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
NK:TNFRSF1B_Gran:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TNFRSF1B_HSPC:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TNFRSF1B_Mono:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
B:ARPC5_DC:LDLR,1,0,0,1,0,0,1,0,1,0,0,0,0
B:ARPC5_Ery:LDLR,0,0,0,1,0,0,0,0,1,1,1,1,1
B:ARPC5_Gran:LDLR,1,1,0,1,1,1,1,0,1,1,1,1,1
B:ARPC5_HSPC:LDLR,1,1,0,1,0,1,0,0,1,0,0,1,1
B:ARPC5_Mono:LDLR,1,1,0,1,1,0,0,0,1,0,0,0,1
B:ARPC5_T:LDLR,0,1,0,0,0,0,0,0,0,0,0,0,0
B:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Ery:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
NK:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
T:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
B:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
NK:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
T:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:ADM_DC:CALCRL,1,0,0,0,0,0,0,1,0,0,0,0,0
Mono:ADM_Gran:CALCRL,0,0,0,0,0,0,0,0,1,0,0,0,0
Mono:ADM_HSPC:CALCRL,0,0,0,0,0,0,0,0,0,1,0,0,0
DC:INSR_NK:ARF1,1,0,1,1,0,1,0,0,1,1,1,1,0
DC:INSR_T:ARF1,1,1,1,1,0,1,0,0,1,1,1,1,0
Ery:INSR_NK:ARF1,1,0,1,1,1,1,0,1,1,1,1,1,1
Ery:INSR_T:ARF1,1,0,1,1,1,1,0,1,1,1,1,1,1
Gran:INSR_NK:ARF1,1,0,1,1,1,1,1,1,1,1,1,1,0
Gran:INSR_T:ARF1,1,1,1,1,1,1,1,1,1,1,1,1,0
HSPC:INSR_NK:ARF1,1,0,1,1,0,0,1,0,1,1,1,1,1
HSPC:INSR_T:ARF1,1,0,1,1,0,0,1,0,1,1,1,1,1
Mono:INSR_NK:ARF1,1,0,1,1,1,0,1,0,0,1,1,0,0
Mono:INSR_T:ARF1,1,0,1,1,1,0,1,0,0,1,1,0,0
Mono:IL1B_DC:IL1RAP,0,0,0,1,0,1,1,0,0,0,0,0,0
Mono:IL1B_Gran:IL1RAP,1,0,1,1,0,1,1,1,1,1,0,0,1
Mono:IL1B_HSPC:IL1RAP,0,0,1,1,0,1,1,0,1,0,0,0,0
Mono:IL1B_Mono:IL1RAP,1,0,1,1,0,1,1,1,1,1,0,0,0
Mono:IL1B_DC:IL1RN,1,0,1,0,0,0,0,1,1,1,1,0,0
