"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"1","Mono:ALOX5AP_Mono:ALOX5",2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,2.3686951677515,NA
"2","Mono:APP_Mono:APLP2",0.17833249617071,0.17833249617071,NA,NA,0.17833249617071,NA,0.17833249617071,0.17833249617071,0.17833249617071,0.17833249617071,0.17833249617071,0.17833249617071,NA
"3","Mono:APP_Mono:LRP1",1.15328636224524,1.15328636224524,NA,NA,1.15328636224524,NA,1.15328636224524,1.15328636224524,1.15328636224524,1.15328636224524,1.15328636224524,1.15328636224524,NA
"4","Mono:APP_Mono:LRP10",0.477206773456629,0.477206773456629,NA,NA,0.477206773456629,NA,0.477206773456629,0.477206773456629,0.477206773456629,0.477206773456629,0.477206773456629,NA,NA
"5","Mono:APP_Mono:NCSTN",2.58185695738325,2.58185695738325,NA,NA,NA,NA,2.58185695738325,NA,NA,2.58185695738325,2.58185695738325,NA,NA
"6","Mono:APP_Mono:NOTCH2",0.207449032920546,0.207449032920546,NA,NA,NA,NA,0.207449032920546,0.207449032920546,0.207449032920546,0.207449032920546,0.207449032920546,0.207449032920546,NA
"7","Mono:APP_Mono:PTGER2",0.375080371203882,0.375080371203882,NA,NA,0.375080371203882,NA,0.375080371203882,0.375080371203882,0.375080371203882,0.375080371203882,0.375080371203882,NA,NA
"8","Mono:APP_Mono:RPSA",0.32579741601247,0.32579741601247,NA,NA,0.32579741601247,NA,0.32579741601247,0.32579741601247,0.32579741601247,0.32579741601247,0.32579741601247,0.32579741601247,NA
"9","Mono:CCL3_Mono:CCR1",4.30171369636006,4.30171369636006,4.30171369636006,4.30171369636006,4.30171369636006,NA,NA,4.30171369636006,4.30171369636006,4.30171369636006,NA,NA,NA
"10","Mono:CCL3L1_Mono:CCR1",2.23320947208324,2.23320947208324,2.23320947208324,2.23320947208324,NA,NA,NA,2.23320947208324,2.23320947208324,NA,NA,NA,NA
"11","Mono:CCL4_Mono:CCR1",3.10227424593216,NA,3.10227424593216,NA,3.10227424593216,NA,NA,NA,NA,NA,NA,NA,NA
"12","Mono:CD14_Mono:ITGA4",1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642,1.55149470815642
"13","Mono:CD52_Mono:SIGLEC10",1.22077262133133,NA,NA,1.22077262133133,NA,1.22077262133133,NA,NA,1.22077262133133,NA,1.22077262133133,1.22077262133133,NA
