cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
99	Mono	IFITM3	0	0.400510097672101	0.747	0.465	0
100	Mono	IRF7	0	0.422631780393716	0.598	0.132	0
101	Mono	LSP1	0	-0.323011567244677	0.417	0.697	0
102	Mono	TRIM22	0	0.362162697882053	0.607	0.193	0
103	Mono	CAVIN3	0	0.299805033871024	0.344	0.026	0
104	Mono	ADM	0	0.456471928300587	0.514	0.12	0
105	Mono	UBE2L6	0	0.306792753824587	0.557	0.198	0
106	Mono	MS4A4A	0	0.303172245241546	0.383	0.055	0
107	Mono	FUT4	0	0.313664520216098	0.394	0.04	0
108	Mono	CACNA2D4	0	0.288235538989405	0.41	0.076	0
109	Mono	CD9	0	0.352976124957498	0.419	0.036	0
110	Mono	CLEC4D	0	0.250710003514202	0.394	0.1	0
111	Mono	CLEC4E	0	0.318523021295864	0.614	0.297	0
112	Mono	CLEC2B	0	0.270219643334086	0.767	0.451	0
113	Mono	H2AFJ	0	0.423387710426111	0.799	0.382	0
114	Mono	CD63	0	0.258755429782416	0.927	0.685	0
115	Mono	DDIT3	0	0.318505891999405	0.523	0.18	0
116	Mono	MDM2	0	0.339669477723222	0.536	0.172	0
117	Mono	PHLDA1	0	0.405964300637503	0.541	0.104	0
118	Mono	AC025164.1	0	0.265448492603105	0.402	0.107	0
119	Mono	SLC25A3	0	-0.296997390846171	0.432	0.655	0
120	Mono	ALDH2	0	-0.367398881158923	0.134	0.477	0
121	Mono	OASL	0	0.352065333243357	0.441	0.046	0
122	Mono	FLT3	0	0.297407112032438	0.356	0.021	0
123	Mono	RNASE6	0	0.323448840942111	0.657	0.314	0
124	Mono	RNASE1	0	0.304523354731938	0.286	0.014	0
125	Mono	RNASE2	0	0.629820965632873	0.732	0.217	0
126	Mono	NFKBIA	0	0.349058384612371	0.919	0.675	0
127	Mono	PTGER2	0	0.300360041056194	0.511	0.168	0
128	Mono	DDX24	0	0.349593586023242	0.748	0.367	0
129	Mono	IFI27	0	0.876464185988482	0.582	0.008	0
130	Mono	CRIP1	0	0.3543756436133	0.911	0.65	0
131	Mono	RPS27L	0	0.377844734632639	0.774	0.395	0
132	Mono	BCL2A1	0	0.317654430450607	0.834	0.533	0
133	Mono	MT2A	0	0.601359527673304	0.813	0.374	0
134	Mono	MT1E	0	0.273482281346207	0.268	0.017	0
135	Mono	MT1X	0	0.270445052842262	0.394	0.11	0
136	Mono	DNAAF1	0	0.354262174337088	0.385	0.013	0
137	Mono	MAP1LC3B	0	0.270180971634474	0.825	0.524	0
138	Mono	XAF1	0	0.394768096068015	0.591	0.167	0
139	Mono	PER1	0	0.36309123215055	0.665	0.231	0
140	Mono	CCL3	0	0.336325270028857	0.502	0.142	0
141	Mono	IFI35	0	0.285128776120015	0.476	0.135	0
142	Mono	PMAIP1	0	0.529470089996511	0.68	0.217	0
143	Mono	AZU1	0	0.325266909230205	0.383	0.059	0
144	Mono	GADD45B	0	0.369422046943024	0.771	0.402	0
145	Mono	TNFSF9	0	0.300259973642047	0.324	0.012	0
146	Mono	PRDX2	0	0.304639906532333	0.53	0.173	0
147	Mono	CALR	0	0.301620408675452	0.764	0.442	0
148	Mono	DNAJB1	0	0.38345969110994	0.6	0.181	0
149	Mono	KLF2	0	0.342478258272874	0.841	0.568	0
150	Mono	BST2	0	0.308437647452478	0.79	0.511	0
151	Mono	HOMER3	0	0.260710635355022	0.46	0.144	0
152	Mono	ZFP36	0	0.456776729179619	0.934	0.604	0
153	Mono	TRPM4	0	0.46382049201691	0.5	0.024	0
154	Mono	MYADM	0	0.385825382533012	0.813	0.399	0
155	Mono	NDUFA3	0	0.29395759959707	0.698	0.358	0
156	Mono	LILRB4	0	0.333429879547968	0.521	0.141	0
157	Mono	TNNT1	0	0.440148104358503	0.567	0.112	0
158	Mono	UBE2S	0	0.268917430522713	0.485	0.169	0
159	Mono	NXT1	0	0.522521302673192	0.689	0.205	0
160	Mono	ID1	0	0.297773091793429	0.404	0.11	0
161	Mono	MAFB	0	0.383391700547796	0.893	0.548	0
162	Mono	CEBPB	0	0.250950420848026	0.944	0.761	0
163	Mono	IFNGR2	0	0.279612755795909	0.78	0.47	0
164	Mono	ETS2	0	0.304477781895218	0.69	0.343	0
165	Mono	HMGN1	0	0.271375585693933	0.763	0.454	0
166	Mono	MX2	0	0.310681020956352	0.534	0.173	0
167	Mono	MX1	0	0.395926673802464	0.538	0.103	0
168	Mono	PIM3	0	0.346175806136192	0.635	0.248	0
169	Mono	SCO2	0	0.350106074677462	0.737	0.391	0
170	Mono	KLHDC7B	0	0.288827850078153	0.338	0.014	0
171	Mono	MIR222HG	0	0.316922084865391	0.414	0.063	0
172	Mono	VSIG4	0	0.287756776963563	0.272	0.01	0
173	Mono	XIST	0	-0.330818219252806	0.029	0.323	0
174	Mono	TSC22D3	0	0.314991760528532	0.877	0.651	0
175	Mono	IL1B	1.82192949421109e-306	0.290397533324859	0.506	0.235	2.87318281237088e-302
176	Mono	CXCL8	8.97363780235786e-297	0.283288905429481	0.679	0.345	1.41514268143183e-292
177	Mono	JAML	3.21650604907532e-277	-0.259748636243014	0.297	0.489	5.07243003939177e-273
178	Mono	AC007952.4	2.12165574928328e-275	-0.255372713748703	0.362	0.538	3.34585111661973e-271
179	Gran	IFI6	1.09992094313386e-183	0.660132053319348	0.677	0.142	1.73457532732209e-179
180	Gran	IFI44L	5.73270219841924e-177	0.514424185998401	0.547	0.026	9.04047136690715e-173
181	Gran	ANKRD28	7.76877497345769e-158	0.462932930768776	0.866	0.529	1.22513581331428e-153
182	Gran	LY6E	1.50986963121097e-148	0.548495627280703	0.682	0.223	2.3810644084197e-144
183	Gran	ISG15	6.02792176081621e-147	0.573512958813382	0.644	0.178	9.50603261680716e-143
184	Gran	HLA-DRB1	7.7093631356854e-143	-0.478194771066588	0.544	0.906	1.21576656649759e-138
185	Gran	PCAT18	6.07039648654632e-136	0.338661153609157	0.403	0.002	9.57301525928355e-132
186	Gran	PLEK	7.73136333591084e-134	0.346646596129624	0.918	0.662	1.21923599807314e-129
187	Gran	MX1	2.0422959336901e-130	0.384704636089394	0.506	0.06	3.22070068742928e-126
188	Gran	SAT1	7.39867603292039e-128	0.269690996765857	0.961	0.83	1.16677121039155e-123
189	Gran	ANP32B	7.34294614044832e-126	-0.28953274101381	0.733	0.892	1.1579826063487e-121
190	Gran	ZFP36	1.86091021626255e-115	0.357062684013617	0.837	0.618	2.93465541104603e-111
191	Gran	IFI27	2.0264995322077e-115	0.557243474122795	0.366	0.011	3.19578976229154e-111
192	Gran	TRGC2	2.97261538772445e-113	0.35485906591164	0.434	0.045	4.68781446644146e-109
