cell_type_original;cell_type;source;cell_type_color;cell_type_color_hex;cell_type_shape;cell_subtype;cell_subtype_color;cell_subtype_color_hex
Ery;Ery;Lasry et al., 2022;red;#F72E3A;19;Ery;darkred;#C72D37
Stem;Epithelial;Smillie et al., 2019;red;#CB4335;19;Stem and multipotent cells;orange;#c68642
TA 1;Epithelial;Smillie et al., 2019;red;#CB4335;19;Stem and multipotent cells;orange;#c68642
TA 2;Epithelial;Smillie et al., 2019;red;#CB4335;19;Stem and multipotent cells;orange;#c68642
Cycling TA;Epithelial;Smillie et al., 2019;red;#CB4335;19;Stem and multipotent cells;orange;#c68642
Immature Enterocytes 1;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;beige;#e0ac69
Immature Enterocytes 2;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;beige;#e0ac69
Enterocyte Progenitors;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;beige;#e0ac69
Enterocytes;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;beige;#e0ac69
M cells;Epithelial;Smillie et al., 2019;red;#CB4335;19;M cells;lightbeige;#f1c27d
Best4+ Enterocytes;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;beige;#e0ac69
Secretory TA;Epithelial;Smillie et al., 2019;red;#CB4335;19;Stem and multipotent cells;darkbeige;#c68642
Immature Goblet;Epithelial;Smillie et al., 2019;red;#CB4335;19;Goblet;brown;#8d5523
Goblet;Epithelial;Smillie et al., 2019;red;#CB4335;19;Goblet;brown;#8d5523
Tuft;Epithelial;Smillie et al., 2019;red;#CB4335;19;Tuft;nude;#ffdbac
Enteroendocrine;Epithelial;Smillie et al., 2019;red;#CB4335;19;Enterocytes;red;#CB4335
WNT2B+ Fos-hi;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
WNT2B+ Fos-lo 1;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
WNT2B+ Fos-lo 2;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
RSPO3+;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
WNT5B+ 1;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
WNT5B+ 2;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
Inflammatory Fibroblasts;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
Myofibroblasts;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Fibroblasts;violet;#d896ff
Endothelial;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Vascular;darkviolet;#be29ec
Microvascular;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Vascular;darkviolet;#be29ec
Post-capillary Venules;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Vascular;darkviolet;#be29ec
Pericytes;Stromal;Smillie et al., 2019;violet;#8E44AD;15;Vascular;darkviolet;#be29ec
Glia;Stromal;Smillie et al., 2019;violet;#8E44AD;14;Glia;darkviolet;#660066
Macrophages;Immune;Smillie et al., 2019;blue;#4F92EE;13;Macrophages;greyblue;#b3cde0
DC1;Immune;Smillie et al., 2019;blue;#4F92EE;13;Myeloid;darkgreyblue;#6497b1
DC2;Immune;Smillie et al., 2019;blue;#4F92EE;13;Myeloid;darkgreyblue;#6497b1
Inflammatory Monocytes;Immune;Smillie et al., 2019;blue;#4F92EE;13;Myeloid;darkgreyblue;#6497b1
CD69+ Mast;Immune;Smillie et al., 2019;blue;#4F92EE;13;Mast;blue;#005b96
CD69- Mast;Immune;Smillie et al., 2019;blue;#4F92EE;13;Mast;blue;#005b96
Cycling Monocytes;Immune;Smillie et al., 2019;blue;#4F92EE;13;Myeloid;paleblue;#6497b1
NKs;Immune;Smillie et al., 2019;blue;#4F92EE;12;Nks;turqoise;#43e8d8
ILCs;Immune;Smillie et al., 2019;blue;#4F92EE;12;ILCs;lightturquoise;#b3ecec
CD4+ Activated Fos-hi;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD4;darkviolet;#011f4b
CD4+ Activated Fos-lo;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD4;darkviolet;#011f4b
CD4+ Memory;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD4;darkviolet;#011f4b
Tregs;Immune;Smillie et al., 2019;blue;#4F92EE;12;Tregs;blue;#428bca
CD4+ PD1+;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD4;darkviolet;#011f4b
CD8+ IELs;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD8;lightblue;#71c7ec
CD8+ LP;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD8;lightblue;#71c7ec
CD8+ IL17+;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD8;lightblue;#71c7ec
MT-hi;Immune;Smillie et al., 2019;blue;#4F92EE;12;CD4;darkviolet;#011f4b
Cycling T;Immune;Smillie et al., 2019;blue;#4F92EE;12;Cycling T;darkblue;#107dac
Plasma;Immune;Smillie et al., 2019;blue;#4F92EE;9;Plasma;blue;#189ad3
Follicular;Immune;Smillie et al., 2019;blue;#4F92EE;14;B-cells;darkturquoise;#1ebbd7
GC;Immune;Smillie et al., 2019;blue;#4F92EE;14;B-cells;darkturquoise;#1ebbd7
Cycling B;Immune;Smillie et al., 2019;blue;#4F92EE;14;B-cells;darkturquoise;#1ebbd7
Megakaryocytes;Megakaryocytes;Lasry et al., 2022;beige;#C89B7A;13;Megakaryocytes;beige;#C89B7A
