id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1033,ENSG00000049130,KITLG,KITLG,472
1034,ENSG00000133116,KL,KL,1236
1035,ENSG00000134962,KLB,KLB,1006
1036,ENSG00000111796,KLRB1,KLRB1,855
1037,ENSG00000134545,KLRC1,KLRC1,525
1038,ENSG00000205809,KLRC2,KLRC2,526
1039,ENSG00000205810,KLRC3,KLRC3,841
1040,ENSG00000134539,KLRD1,KLRD1,859
1041,ENSG00000150045,KLRF1,KLRF1,1218
1042,ENSG00000256797,KLRF2,KLRF2,6
1043,ENSG00000139187,KLRG1,KLRG1,1082
1044,ENSG00000188883,KLRG2,KLRG2,1
1045,ENSG00000213809,KLRK1,KLRK1,527
1046,ENSG00000113889,KNG1,KNG1,150
1047,ENSG00000183762,KREMEN1,KREMEN1,1091
1048,ENSG00000131650,KREMEN2,KREMEN2,1025
1049,ENSG00000198910,L1CAM,L1CAM,587
1050,ENSG00000089692,LAG3,LAG3,435
1051,ENSG00000167613,LAIR1,LAIR1,962
1052,ENSG00000278154,LAIR1,LAIR1,962
1053,ENSG00000276053,LAIR1,LAIR1,962
1054,ENSG00000274110,LAIR1,LAIR1,962
1055,ENSG00000276163,LAIR1,LAIR1,962
1056,ENSG00000053747,LAMA3,LAMA3,938
1057,ENSG00000135862,LAMC1,LAMC1,341
1058,ENSG00000185896,LAMP1,LAMP1,346
1059,ENSG00000182866,LCK,LCK,257
1060,ENSG00000148346,LCN2,LCN2,800
1061,ENSG00000130164,LDLR,LDLR,152
1062,ENSG00000164406,LEAP2,LEAP2,1073
1063,ENSG00000243709,LEFTY1,LEFTY1,109
1064,ENSG00000143768,LEFTY2,LEFTY2,25
1065,ENSG00000174697,LEP,LEP,658
1066,ENSG00000116678,LEPR,LEPR,707
1067,ENSG00000131981,LGALS3,LGALS3,424
1068,ENSG00000168961,LGALS9,LGALS9,19
1069,ENSG00000205213,LGR4,LGR4,1132
1070,ENSG00000139292,LGR5,LGR5,105
1071,ENSG00000133067,LGR6,LGR6,1174
1072,ENSG00000104826,LHB,LHB,167
1073,ENSG00000138039,LHCGR,LHCGR,493
1074,ENSG00000128342,LIF,LIF,390
1075,ENSG00000113594,LIFR,LIFR,671
1076,ENSG00000276798,LILRA4,LILRA4,782
1077,ENSG00000239961,LILRA4,LILRA4,782
1078,ENSG00000277092,LILRA4,LILRA4,782
1079,ENSG00000274185,LILRA4,LILRA4,782
1080,ENSG00000104972,LILRB1,LILRB1,1036
1081,ENSG00000277134,LILRB1,LILRB1,1036
1082,ENSG00000274669,LILRB1,LILRB1,1036
1083,ENSG00000276452,LILRB1,LILRB1,1036
1084,ENSG00000277807,LILRB1,LILRB1,1036
1085,ENSG00000274513,LILRB2,LILRB2,1016
1086,ENSG00000131042,LILRB2,LILRB2,1016
1087,ENSG00000276146,LILRB2,LILRB2,1016
1088,ENSG00000277751,LILRB2,LILRB2,1016
