"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","mean_weigth_case","mean_weight_control","log2FC_weights","direction"
"133","B:CD69_Mono:SIRPA","B","CD69","Mono","SIRPA",-0.259986912069383,-0.259986912069383,NA,NA,0.506142857142857,NA,NA,NA
"134","B:CD69_T:SIRPA","B","CD69","T","SIRPA",-0.259986912069383,-0.259986912069383,NA,NA,0.433571428571429,NA,NA,NA
"135","B:SELPLG_DC:SELL","B","SELPLG","DC","SELL",NA,NA,-0.331684708405509,0,0.0892857142857143,NA,NA,NA
"136","B:SELPLG_HSPC:SELL","B","SELPLG","HSPC","SELL",NA,NA,-0.306021151163924,0,0.182125,NA,NA,NA
"137","DC:S100A8_B:ITGB2","DC","S100A8","B","ITGB2",-0.277329367248429,-0.277329367248429,NA,NA,0.405285714285714,NA,NA,NA
"138","DC:S100A8_B:TLR4","DC","S100A8","B","TLR4",-0.277329367248429,-0.277329367248429,NA,NA,0.29,NA,NA,NA
"139","DC:S100A9_B:ITGB2","DC","S100A9","B","ITGB2",-0.29792273436797,-0.29792273436797,NA,NA,0.496571428571429,NA,NA,NA
"140","DC:S100A9_B:TLR4","DC","S100A9","B","TLR4",-0.29792273436797,-0.29792273436797,NA,NA,0.381285714285714,NA,NA,NA
"141","Ery:EPCAM_B:CLDN7","Ery","EPCAM","B","CLDN7",-0.278844053182225,-0.278844053182225,NA,NA,0.0388571428571429,NA,NA,NA
"142","B:CD34_DC:SELL","B","CD34","DC","SELL",NA,NA,-0.331684708405509,0,0.0855714285714286,NA,NA,NA
"143","B:CD34_HSPC:SELL","B","CD34","HSPC","SELL",NA,NA,-0.306021151163924,0,0.171,NA,NA,NA
"144","B:PODXL2_DC:SELL","B","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.0834285714285714,NA,NA,NA
"145","DC:PODXL2_DC:SELL","DC","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.0157142857142857,NA,NA,NA
"146","Ery:PODXL2_DC:SELL","Ery","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.0905,NA,NA,NA
"147","HSPC:PODXL2_DC:SELL","HSPC","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.053,NA,NA,NA
"148","Mono:PODXL2_DC:SELL","Mono","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.0183333333333333,NA,NA,NA
"149","T:PODXL2_DC:SELL","T","PODXL2","DC","SELL",NA,NA,-0.331684708405509,0,0.0753333333333333,NA,NA,NA
"150","B:PODXL2_HSPC:SELL","B","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.176125,NA,NA,NA
"151","DC:PODXL2_HSPC:SELL","DC","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.0392857142857143,NA,NA,NA
"152","Ery:PODXL2_HSPC:SELL","Ery","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.185571428571429,NA,NA,NA
"153","HSPC:PODXL2_HSPC:SELL","HSPC","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.139375,NA,NA,NA
"154","Mono:PODXL2_HSPC:SELL","Mono","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.0391428571428571,NA,NA,NA
"155","T:PODXL2_HSPC:SELL","T","PODXL2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.166571428571429,NA,NA,NA
"156","DC:GZMB_B:PGRMC1","DC","GZMB","B","PGRMC1",-0.268788269184333,-0.268788269184333,NA,NA,0.0332857142857143,NA,NA,NA
"461","HSPC:HSP90B1_DC:LRP1","HSPC","HSP90B1","DC","LRP1",-0.266230716109959,1.14259777324474e-199,NA,NA,0.454333333333333,NA,NA,NA
"471","HSPC:HSP90B1_Ery:LRP1","HSPC","HSP90B1","Ery","LRP1",-0.266230716109959,1.14259777324474e-199,NA,NA,0.421666666666667,NA,NA,NA
"481","HSPC:HSP90B1_HSPC:LRP1","HSPC","HSP90B1","HSPC","LRP1",-0.266230716109959,1.14259777324474e-199,NA,NA,0.235142857142857,NA,NA,NA
"491","HSPC:HSP90B1_Mono:LRP1","HSPC","HSP90B1","Mono","LRP1",-0.266230716109959,1.14259777324474e-199,NA,NA,0.488,NA,NA,NA
"501","HSPC:HSP90B1_T:LRP1","HSPC","HSP90B1","T","LRP1",-0.266230716109959,1.14259777324474e-199,NA,NA,0.316,NA,NA,NA
"511","Ery:APOC1_DC:VLDLR","Ery","APOC1","DC","VLDLR",-0.398583646554478,5.16322187652807e-17,NA,NA,0.163285714285714,NA,NA,NA
"521","Ery:APOC1_Ery:VLDLR","Ery","APOC1","Ery","VLDLR",-0.398583646554478,5.16322187652807e-17,NA,NA,0.148125,NA,NA,NA
"531","Ery:APOC1_HSPC:VLDLR","Ery","APOC1","HSPC","VLDLR",-0.398583646554478,5.16322187652807e-17,NA,NA,0.154625,NA,NA,NA
"541","Ery:APOC1_Mono:VLDLR","Ery","APOC1","Mono","VLDLR",-0.398583646554478,5.16322187652807e-17,NA,NA,0.141571428571429,NA,NA,NA
"551","Ery:APOC1_T:VLDLR","Ery","APOC1","T","VLDLR",-0.398583646554478,5.16322187652807e-17,NA,NA,0.138428571428571,NA,NA,NA
"561","DC:VCAN_DC:TLR6","DC","VCAN","DC","TLR6",-0.251523844617799,2.49127243760142e-40,NA,NA,0.366285714285714,NA,NA,NA
"571","DC:VCAN_Ery:TLR6","DC","VCAN","Ery","TLR6",-0.251523844617799,2.49127243760142e-40,NA,NA,0.3855,NA,NA,NA
"581","DC:VCAN_HSPC:TLR6","DC","VCAN","HSPC","TLR6",-0.251523844617799,2.49127243760142e-40,NA,NA,0.352142857142857,NA,NA,NA
"591","DC:VCAN_Mono:TLR6","DC","VCAN","Mono","TLR6",-0.251523844617799,2.49127243760142e-40,NA,NA,0.349857142857143,NA,NA,NA
