Gene;OverallAverageExpression;case_avg;control_avg
ACOT7;0,029448344386833959;3,56546801556419e-02;2,42392852096032e-02
AL031848.2;0,007882471530972711;5,53406778554412e-03;9,85351765829454e-03
ESPN;0,005279283500195822;6,94021527788881e-03;3,88524163046185e-03
TNFRSF25;0,060953866321147764;7,27216746645554e-02;5,10769901206689e-02
NOL9;0,088150954167985698;8,61427367925186e-02;8,98364774041158e-02
ZBTB48;0,048818652254237885;5,52793432407321e-02;4,33961093999518e-02
KLHL21;0,030228015190829037;3,10479965847499e-02;2,95397940303451e-02
PHF13;0,020630444573340592;2,58612309541705e-02;1,62401768185508e-02
THAP3;0,039121924803143887;3,80089596967477e-02;4,00560510440327e-02
DNAJC11;0,042337719657987653;4,53780493196880e-02;3,97859310155358e-02
CAMTA1;0,270450037049689840;2,89003096206051e-01;2,54878210667066e-01
VAMP3;0,220844526846734612;2,37704396476673e-01;2,06693816686299e-01
PER3;0,017072982775946367;1,56666171623024e-02;1,82533639185704e-02
UTS2;0,011623485296129549;6,52101396369370e-03;1,59060565444278e-02
TNFRSF9;0,015664329913492776;1,74798678024735e-02;1,41405251026516e-02
PARK7;0,759815058313795588;6,61910357375461e-01;8,41987760519178e-01
ERRFI1;0,005981143624585579;8,14981285468328e-03;4,16095103813321e-03
RERE;0,192488132839519238;1,91640150867807e-01;1,93199855252939e-01
ENO1;1,011275070044611812;1,12271958799478e+00;9,17738221474800e-01
ENO1-AS1;0,005867275922430171;4,56111787116940e-03;6,96355154097290e-03
SLC2A5;0,008829737809366554;1,31364030774237e-02;5,21509704974440e-03
GPR157;0,010438420406296826;7,18209127297657e-03;1,31715002440420e-02
MIR34AHG;0,002362387228019321;4,93717103798970e-03;2,01337337338422e-04
H6PD;0,053962043104731412;5,20753935553841e-02;5,55455328666998e-02
SPSB1;0,007046953103916729;1,14392939122847e-02;3,36040373732500e-03
SLC25A33;0,105531450513931827;1,24454899636082e-01;8,96487509651881e-02
TMEM201;0,012634798113922239;1,55540619925867e-02;1,01846215742736e-02
PIK3CD;0,104308530483243359;9,80553493348759e-02;1,09556907603202e-01
PIK3CD-AS1;0,003206644362612622;3,62462114866407e-03;2,85583095283977e-03
PIK3CD-AS2;0,004061495550589086;3,11994130352461e-03;4,85175440448184e-03
CLSTN1;0,122842438848359978;1,57541773339872e-01;9,37188313752941e-02
CTNNBIP1;0,102577388011758322;8,45447728424370e-02;1,17712398916150e-01
LZIC;0,167174131672951920;1,48900783230681e-01;1,82511193177156e-01
NMNAT1;0,023342006050409009;1,91483375483563e-02;2,68618071392690e-02
RBP7;0,186756969907857756;4,41827269224345e-02;3,06421405820675e-01
UBE4B;0,078220369174215626;8,13739450772434e-02;7,55735314730843e-02
KIF1B;0,123478002838227546;1,20086980447973e-01;1,26324132496717e-01
