"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"7287","NK:CD99_HSPC:CD81","NK","CD99","HSPC","CD81",NA,NA,NA,NA
"7288","NK:CD99_HSPC:PILRB","NK","CD99","HSPC","PILRB",NA,NA,NA,NA
"7289","NK:FASLG_HSPC:TNFRSF1A","NK","FASLG","HSPC","TNFRSF1A",NA,NA,NA,NA
"7290","NK:GPI_HSPC:AMFR","NK","GPI","HSPC","AMFR",NA,NA,NA,NA
"7291","NK:HLA-A_HSPC:APLP2","NK","HLA-A","HSPC","APLP2",NA,NA,NA,NA
"7292","NK:HLA-A_HSPC:CD3D","NK","HLA-A","HSPC","CD3D",NA,NA,NA,NA
"7293","NK:HLA-B_HSPC:CD3D","NK","HLA-B","HSPC","CD3D",NA,NA,NA,NA
"7294","NK:ICAM2_HSPC:ITGAL","NK","ICAM2","HSPC","ITGAL",NA,NA,NA,NA
"7295","NK:ICAM2_HSPC:ITGB2","NK","ICAM2","HSPC","ITGB2",NA,NA,NA,NA
"7296","NK:ICAM3_HSPC:ITGAL","NK","ICAM3","HSPC","ITGAL",NA,NA,NA,NA
"7297","NK:ITGA4_HSPC:CD9","NK","ITGA4","HSPC","CD9",NA,NA,NA,NA
"7298","NK:LTB_HSPC:LTBR","NK","LTB","HSPC","LTBR",NA,NA,NA,NA
