,ID,community,CPDB,NicheNet,CellChat
17714,NMS_UTS2R,False,False,True,False
17715,SHH_GAS1,True,True,False,False
17716,PF4_ADRA2C,False,False,True,False
17717,BMP4_BMPR1B,True,True,True,True
17718,C3_CXCR1,False,False,True,False
17719,QRFP_FPR2,False,False,True,False
17720,TJP1_F11R,True,False,False,False
17721,GAST_PROKR2,False,False,True,False
17722,HLA-B_KIR2DL3,True,False,False,False
17723,CCL20_HRH3,False,False,True,False
17724,CALCA_HRH2,False,False,True,False
17725,CCL5_TAS2R14,False,False,True,False
17726,CCL25_HRH4,False,False,True,False
17727,HCRT_CHRM3,False,False,True,False
17728,HLA-DRB5_LAG3,True,False,False,False
17729,CXCL12_FPR2,False,False,True,False
17730,MOG_LILRB3,True,False,False,False
17731,NRXN1_LRRTM3,False,False,False,True
17732,PDYN_OXGR1,False,False,True,False
17733,ADAM12_ITGB1,True,False,True,False
17734,COL9A1_ITGA1,False,True,False,False
17735,CEL_RORA,False,True,False,False
17736,CXCL13_NPY2R,False,False,True,False
17737,IFNA5_IFNAR2,True,True,True,False
17738,RARG_ALDH1A2,False,True,False,False
17739,DLL1_NOTCH2,True,True,True,True
17740,CNTNAP1_CNTN1,False,False,True,False
17741,COL11A1_ITGA11,True,True,False,False
17742,PAPLN_CD200,True,False,False,False
17743,CXCL16_TAS2R10,False,False,True,False
17744,INHBE_TGFB3,True,False,False,False
17745,CGA_FSHR,True,True,True,True
17746,QRFP_P2RY14,True,False,True,False
17747,CD300LF_TIMD4,True,False,False,False
17748,COPA_NOTCH3,False,False,True,False
17749,ADM_ CALCR,False,False,False,True
17750,GNAS_GLP1R,True,False,False,False
17751,SAA1_CNR2,False,False,True,False
17752,CCL21_S1PR5,False,False,True,False
17753,BMP5_BMPR1B,True,True,True,True
17754,QRFP_NTSR2,False,False,True,False
17755,CCL5_NPY5R,False,False,True,False
17756,RLN1_DRD5,False,False,True,False
17757,TRH_NPFFR1,False,False,True,False
17758,WISP3_SCARB2,False,False,True,False
17759,CALM2_SCN4A,True,False,False,False
17760,LIPH_LRP5,False,False,True,False
17761,GHRH_VIPR2,True,False,True,True
17762,HDC_HRH2,True,True,True,False
17763,ANGPT2_TIE1,True,False,False,False
17764,LAMA1_CD44,True,False,True,True
17765,SRD5A1_AR,False,True,False,False
17766,COL1A2_DDR2,True,False,False,False
17767,HCST_KLRK1,False,True,False,False
17768,CXCL13_HTR1D,False,False,True,False
17769,C5_CCR4,False,False,True,False
17770,NPFF_GPR4,False,False,True,False
17771,EDN3_HTR2B,False,False,True,False
17772,CD82_CD37,True,False,False,False
17773,RSPO1_WNT9B,True,False,False,False
17774,RLN1_GIPR,False,False,True,False
17775,APOB_P2RY14,False,False,True,False
17776,INSL5_TAS2R1,False,False,True,False
17777,TNR_ITGA2B,True,False,False,True
17778,SEMA3G_FCGR2A,True,False,False,False
17779,APP_HCRTR2,False,False,True,False
17780,CCL24_CCR2,True,True,True,False
17781,CCL14_ACKR4,False,False,True,False
17782,OXT_BDKRB2,False,False,True,False
17783,PTPRC_CD4,False,False,True,False
17784,KNG1_NMUR1,False,False,True,False
17785,GAL_GALR3,True,True,True,True
17786,APLN_SSTR3,False,False,True,False
17787,GIP_GLP1R,False,False,True,False
17788,APP_MCHR1,False,False,True,False
17789,APP_BACE1,True,False,False,False
17790,RLN3_GALR2,False,False,True,False
17791,WNT3A_FZD6,True,True,True,True
17792,ADM_CALCR,True,False,True,True
17793,CXCL13_CCR8,False,False,True,False
17794,PMCH_TACR3,False,False,True,False
17795,ULBP3_F3,True,False,False,False
17796,CXCL12_CCR3,False,False,True,False
17797,APP_EGFR,False,False,True,False
17798,TF_EGFR,False,False,True,False
17799,GRP_OPN4,False,False,True,False
17800,RLN1_PTH1R,False,False,True,False
17801,WNT9A_LRP5,True,True,True,True
17802,DPEP2_CYSLTR1,False,True,False,False
17803,NPB_HRH3,False,False,True,False
17804,KNG1_CXCR3,False,False,True,False
17805,DDC_HTR2A,False,True,False,False
17806,CCL20_RXFP4,False,False,True,False
17807,PTHLH_PTGIR,False,False,True,False
17808,CNTF_ CNTFR,False,False,False,True
17809,LAMA5_ITGA9,True,False,False,True
17810,CCL25_CNR1,False,False,True,False
17811,NMB_FFAR3,False,False,True,False
17812,NXPH3_NRXN3,True,False,True,False
17813,IL4_ IL4R,False,False,False,True
17814,NRXN2_LRRTM1,False,False,False,True
17815,CATSPERB_CATSPER4,False,True,False,False
17816,PMCH_HCRTR2,False,False,True,False
17817,LEFTY1_GDF5,True,False,False,False
17818,GNRH1_NPSR1,False,False,True,False
17819,GHRH_FSHR,False,False,True,False
17820,IAPP_ADRB2,True,False,True,False
17821,CCL25_DRD2,False,False,True,False
17822,KNG1_HTR2A,False,False,True,False
17823,CER1_WNT4,True,True,False,False
17824,PIK3CB_KDR,False,False,True,False
17825,CXCL5_SSTR5,False,False,True,False
17826,GHRL_PTGFR,False,False,True,False
17827,LRFN5_PTPRS,True,False,False,True
17828,CCL25_NPY1R,False,False,True,False
17829,GCG_HTR4,False,False,True,False
17830,CXCL10_HTR5A,False,False,True,False
17831,SCGB3A2_MARCO,True,False,False,True
17832,CALCA_RAMP2,True,False,True,True
17833,F2_GP1BA,True,True,True,False
17834,SHH_DERL1,False,False,True,False
17835,PLAU_ITGB1,True,False,False,False
17836,GPC6_LRP2,True,False,False,False
17837,PPY_SSTR3,False,False,True,False
17838,INHBE_ ACVR2B,False,False,False,True
17839,APOA1_TREM2,False,True,False,True
17840,UBC_TGFBR1,True,False,False,False
17841,AGT_CNR2,False,False,True,False
17842,HCRT_UTS2R,False,False,True,False
17843,SDK2_DLG4,False,False,True,False
17844,RSPO4_LGR6,True,True,True,False
17845,HGF_SDC1,True,False,True,False
17846,SPP1_ITGB5,True,False,True,False
17847,GNA13_TBXA2R,True,False,False,False
17848,ADAM10_EFNA3,True,False,False,False
17849,CDH5_KDR,False,False,True,False
17850,CXCL10_CNR2,False,False,True,False
17851,PTPRT_NRXN2,False,False,True,False
17852,THRB_TPO,False,True,False,False
17853,SST_GRM2,False,False,True,False
17854,OXT_NPFFR2,False,False,True,False
17855,CXCL12_NPY5R,False,False,True,False
17856,HLA-DQA2_LAG3,True,False,False,False
17857,CXCL13_GPR17,False,False,True,False
17858,MMP9_ITGAM,True,False,True,False
17859,SELE_VCAN,True,False,False,False
17860,INHBC_TGFB1,True,False,False,False
17861,F2_LPAR1,False,False,True,False
17862,GRP_P2RY1,False,False,True,False
17863,IGFBP3_IGFL3,True,False,False,False
17864,WNT5B_SFRP5,False,True,False,False
17865,TIMP2_ITGA3,True,False,False,False
17866,SFRP4_WNT9B,True,True,False,False
17867,SAA1_CXCR3,False,False,True,False
17868,XCL2_ADRA1A,False,False,True,False
17869,CXCL3_NPY1R,False,False,True,False
17870,BMP8A_TGFBR1,True,False,False,False
17871,FN1_ITGA3,True,True,True,True
17872,VIP_HTR6,False,False,True,False
17873,PPY_CCR7,False,False,True,False
17874,CADM1_ITGB4,False,False,True,False
17875,FGF6_FGFR1,True,True,True,True
17876,ICAM5_ROBO2,False,False,True,False
17877,WNT7B_ LRP6,False,False,False,True
17878,CCL4L1_VSIR,True,False,False,False
17879,CCL28_TAS2R14,False,False,True,False
17880,CXCL10_NPBWR1,False,False,True,False
17881,PMCH_ADRA1B,False,False,True,False
17882,CEACAM6_CEACAM8,True,True,False,False
17883,GNB1_GRM7,True,False,False,False
17884,CCL4L2_GPR42,False,True,False,False
17885,TAC3_EDNRA,False,False,True,False
17886,NID1_ITGB3,True,False,True,False
17887,CXCL11_S1PR4,False,False,True,False
17888,CXCL9_DRD2,False,False,True,False
17889,RLN3_GRM4,False,False,True,False
17890,RLN3_NPY1R,False,False,True,False
17891,CXCL16_OPRL1,False,False,True,False
17892,PDYN_FPR1,False,False,True,False
17893,FAT1_GRID2,False,False,True,False
17894,SHANK2_CFTR,True,False,False,False
17895,CDH15_CDH7,False,False,True,False
17896,LEFTY2_BMP4,True,False,False,False
17897,SAA1_CHRM1,False,False,True,False
17898,PLAU_ITGAM,True,False,False,False
17899,ADCYAP1_HTR7,False,False,True,False
17900,CCL5_RXFP3,False,False,True,False
17901,CXCL16_GRM8,False,False,True,False
17902,CSF2_CSF3R,True,False,True,False
17903,TSHB_CRHR2,False,False,True,False
17904,AVP_DRD1,False,False,True,False
17905,NMB_KISS1R,False,False,True,False
17906,EDN3_HTR2C,False,False,True,False
17907,IL6_FCGR3B,True,False,False,False
17908,VEGFB_FLT1,True,True,True,True
17909,CCL5_GABBR1,False,False,True,False
17910,YARS_CXCR1,False,True,True,False
17911,CXCL2_CASR,False,False,True,False
17912,PDGFRA_PDGFRB,True,False,False,False
17913,EDN2_GPR132,False,False,True,False
17914,TAC3_TRHR,False,False,True,False
17915,VWF_ITGA4,True,False,False,False
17916,HCRT_ADRA1A,False,False,True,False
17917,GDF6_BMPR1B,True,True,True,True
17918,LAMA2_ ITGB1,False,False,False,True
17919,C3_NMUR2,False,False,True,False
17920,HSP90B1_LRP1,True,False,True,False
17921,GNAI3_HTR1A,True,False,False,False
17922,EFNB3_EPHB1,True,True,True,True
17923,LAMC1_CD44,True,False,False,True
17924,PTHLH_PTGER4,False,False,True,False
17925,C1QA_CR1,True,False,False,False
17926,WNT7B_FZD3,True,True,True,True
17927,ANGPTL4_CDH5,True,False,False,True
17928,L1CAM_CNTN1,True,False,True,False
17929,WNT5A_IGF2R,False,False,True,False
17930,PPBP_OPRK1,False,False,True,False
17931,VIP_GPR45,False,False,True,False
17932,TAC3_UTS2R,False,False,True,False
17933,MMRN2_CLEC14A,True,False,False,False
17934,PLAU_ITGA3,True,False,False,False
17935,FGF23_FGFR4,True,False,True,True
17936,CXCL13_LPAR5,False,False,True,False
17937,CYP11B2_NR3C1,False,True,False,False
17938,COL20A1_ITGA1,False,True,False,False
17939,TNC_CNTN1,True,False,True,False
17940,C1orf194_PLSCR4,True,False,False,False
17941,DRAXIN_WNT8B,True,False,False,False
17942,PYY_TAS2R14,False,False,True,False
17943,LAMA3_ITGAV,True,False,False,True
17944,PVR_NECTIN1,False,False,True,False
17945,TYK2_IL23R,True,False,False,False
17946,SCT_CRHR2,False,False,True,False
17947,IL1RN_IL2RA,True,False,False,False
17948,CPNE3_ERBB2,True,False,False,False
17949,CD59_SIGLEC1,True,False,False,False
17950,INSL5_ADRA2A,True,False,True,False
17951,KNG1_PROKR1,False,False,True,False
17952,GCG_ADRA1B,False,False,True,False
17953,CCL25_SSTR5,False,False,True,False
17954,C3_CCR3,False,False,True,False
17955,CD300A_IGSF5,True,False,False,False
17956,B2M_CD247,True,False,False,False
17957,FLT1_CD300LB,True,False,False,False
17958,CD47_PCSK4,True,False,False,False
17959,NTN4_NTRK2,False,True,False,True
17960,HFE_TFRC,False,True,False,False
17961,ADAM9_CDH1,False,False,True,False
17962,NPY_OPRL1,False,False,True,False
17963,CXCL16_TAS2R1,False,False,True,False
17964,INSL3_RAMP2,True,False,True,False
17965,INSL3_ADORA2B,False,False,True,False
17966,C5_CXCR4,False,False,True,False
17967,APP_DCC,True,False,False,False
17968,CEACAM5_CEACAM7,True,False,False,False
17969,HRAS_INSR,True,False,False,False
17970,PTHLH_CALCR,False,False,True,False
17971,IL25_IL17RA,True,True,True,True
17972,CCL20_NMUR1,False,False,True,False
17973,EGF_IGF2R,False,False,True,False
17974,RLN1_MC5R,False,False,True,False
17975,EDN1_LPAR3,False,False,True,False
17976,HP_CD22,True,False,False,False
17977,CD300LB_SIGLEC10,True,False,False,False
17978,CCL11_NR3C1,False,True,False,False
17979,TRH_PROKR1,False,False,True,False
17980,COL1A2_SDC4,True,False,False,True
17981,CCL5_HTR1D,False,False,True,False
17982,PTPRD_SIRPG,True,False,False,False
17983,RSPO2_LGR4,True,True,True,False
17984,NMU_CCKAR,False,False,True,False
17985,RTN4_RTN4R,True,False,True,False
17986,C5_TAS2R10,False,False,True,False
17987,CNTN5_PTPRG,True,False,False,False
17988,PTPRS_LRFN1,True,False,False,False
17989,IL22_IFNAR2,False,False,True,False
17990,GRP_HTR2C,False,False,True,False
17991,PROK1_P2RY6,False,False,True,False
17992,TAC1_F2RL1,False,False,True,False
17993,CXCL13_TAS2R13,False,False,True,False
17994,CXCL9_BDKRB1,False,False,True,False
17995,OMD_ITGB3,False,True,False,False
17996,APP_CNTN1,False,False,True,False
17997,KNG1_CXCR4,False,False,True,False
17998,UTS2B_GPR68,False,False,True,False
17999,MXRA5_PILRA,True,False,False,False
18000,OPRM1_GJA4,True,False,False,False
18001,LGALS9_ PTPRC,False,False,False,True
18002,RLN2_DRD1,False,False,True,False
18003,CDH1_SLC1A5,False,False,True,False
18004,SEMA4A_ PLXNA2,False,False,False,True
18005,LHB_GPR176,False,False,True,False
18006,CD80_CD28,True,False,True,True
18007,EDN2_GPR68,False,False,True,False
18008,CXCL16_DRD2,False,False,True,False
18009,GNAI2_CXCR3,True,False,False,False
18010,POMC_S1PR5,False,False,True,False
18011,CALM1_VIPR1,True,False,True,False
18012,EDN2_F2RL2,False,False,True,False
18013,DCN_TLR4,True,False,False,False
18014,RLN3_HTR1F,False,False,True,False
18015,S100A4_ERBB3,True,False,False,False
18016,ACVR2B_BMPR1B,True,False,False,False
18017,CYP19A1_GPER1,False,True,False,False
18018,GAL_TAS2R40,False,False,True,False
18019,PPY_CCR9,False,False,True,False
18020,PTPRT_CDH1,False,False,True,False
18021,GAST_NTSR2,False,False,True,False
18022,UTS2B_P2RY1,False,False,True,False
18023,MADCAM1_SIGLEC7,True,False,False,False
18024,HLA-C_LILRB1,True,False,False,False
18025,GCG_F2RL1,False,False,True,False
18026,NRG3_ERBB4,True,True,True,True
18027,WNT3A_FZD7,True,True,True,True
18028,CXCL16_CCR3,False,False,True,False
18029,NPS_NPSR1,True,True,True,True
18030,GAS1_PTCH1,False,True,False,False
18031,HLA-G_LILRB1,True,True,True,True
18032,COL2A1_ ITGB8,False,False,False,True
18033,GRK2_GRM1,True,False,False,False
