,ID,community,CPDB,NicheNet,CellChat,community_curated,NicheNet_curated
2300,WNT8B_FZD5_LRP5,False,False,False,True,False,False
2301,ANOS1_FGFR1,True,False,False,False,True,False
2302,SEMA3G_LILRA3,True,False,False,False,True,False
2303,CXCL11_TAS2R4,False,False,True,False,False,False
2304,ADIPOQ_ADIPOR1,True,True,True,True,True,True
2305,SEMA3D_NRP1,True,False,False,False,True,False
2306,PNOC_PTGER3,False,False,True,False,False,False
2307,PROK2_OXTR,False,False,True,False,False,False
2308,WNT6_FZD7_LRP6,False,False,False,True,False,False
2309,C10orf99_GPR15,False,True,False,False,False,False
2310,RLN3_MCHR1,False,False,True,False,False,False
2311,CORT_TAS2R1,False,False,True,False,False,False
2312,EDN1_F2RL1,False,False,True,False,False,False
2313,CXCL9_SSTR3,False,False,True,False,False,False
2314,SOSTDC1_WNT2B,True,False,False,False,False,False
2315,NRXN1_NLGN1,False,False,True,True,False,True
2316,PLXNA1_KDR,True,True,False,False,True,False
2317,ADM2_VIPR1,True,False,True,False,True,False
2318,PF4_GRM6,False,False,True,False,False,False
2319,ROBO2_DCC,False,False,True,False,False,False
2320,EDN3_P2RY1,False,False,True,False,False,False
2321,NLGN3_NRXN1,True,False,True,False,True,True
2322,CCL28_HTR1B,False,False,True,False,False,False
2323,HSP90AA1_ERBB2,True,False,False,False,True,False
2324,COL5A3_ITGA1,True,True,False,False,True,False
2325,TSLP_IL7R_CRLF2,False,False,False,True,False,False
2326,AGTR1_YWHAQ,True,False,False,False,False,False
2327,ANXA1_HRH3,False,False,True,False,False,False
2328,BTN3A1_VSIG8,True,False,False,False,False,False
2329,TNFRSF6B_FASLG,False,True,False,False,False,False
2330,ERBB4_NRG1,False,True,False,False,False,False
2331,IL6R_GP6,True,False,False,False,False,False
2332,COL28A1_ITGA2,False,True,False,False,False,False
2333,ADM2_VIPR2,False,False,True,False,False,False
2334,SFRP1_WNT8B,False,True,False,False,False,False
2335,GHRH_PTH2R,False,False,True,False,False,False
2336,LTB_CD40,True,False,True,False,True,True
2337,WNT2B_FZD10_LRP5,False,False,False,True,False,False
2338,EPO_CRLF3,True,False,False,False,True,False
2339,PTPN6_CLEC12A,True,False,False,False,True,False
2340,MS4A1_CD82,True,False,False,False,False,False
2341,CCL21_CCR1,False,False,True,False,False,False
2342,COL18A1_ITGAV,False,False,True,False,False,False
2343,ANXA1_GRM7,True,False,False,False,True,False
2344,ROBO2_ITPR3,False,False,True,False,False,False
2345,UTS2B_MCHR1,False,False,True,False,False,False
2346,PPY_CXCR1,False,False,True,False,False,False
2347,CLEC11A_ITGB1,True,False,False,False,True,False
2348,POMC_RXFP2,False,False,True,False,False,False
2349,GNRH1_MCHR1,False,False,True,False,False,False
2350,COL6A1_CD44,True,False,False,True,False,False
2351,LGALS3_CLEC7A,False,False,True,False,False,False
2352,CCL18_CCR8,True,True,False,False,True,False
2353,PDYN_RXFP4,False,False,True,False,False,False
2354,SLIT2_PLXNA1,True,False,False,False,True,False
2355,PTHLH_PRLHR,True,True,True,False,False,True
2356,CORT_FPR2,False,False,True,False,False,False
2357,C5_SSTR2,False,False,True,False,False,False
2358,NMS_GCGR,False,False,True,False,False,False
2359,GNRH1_LPAR6,False,False,True,False,False,False
2360,RLN3_PTGDR,False,False,True,False,False,False
2361,NPY_CXCR2,False,False,True,False,False,False
2362,IL1F9_IL1RL2_IL1RAP,False,False,False,True,False,False
2363,CD86_CTLA4,True,False,True,True,True,True
2364,HEBP1_FPR1,False,False,True,False,False,False
2365,PENK_GRM4,False,False,True,False,False,False
2366,APP_EDNRA,False,False,True,False,False,False
2367,TAC3_UTS2R,False,False,True,False,False,False
2368,CXCL12_S1PR5,False,False,True,False,False,False
2369,SCT_GPR176,False,False,True,False,False,False
2370,DLL3_NOTCH4,True,True,True,True,True,True
2371,SLIT3_ROBO4,True,False,False,False,True,False
2372,CCL28_P2RY12,False,False,True,False,False,False
2373,WNT3A_FZD4,True,True,True,False,False,False
2374,NPTN_GABRA1,False,False,True,False,False,False
2375,BSG_SELE,True,False,False,False,True,False
2376,NMB_PTGER1,False,False,True,False,False,False
2377,SCGB3A1_FGFR4,False,False,True,False,False,False
2378,CXCL16_P2RY4,False,False,True,False,False,False
2379,CCL25_NPY5R,False,False,True,False,False,False
2380,PCDH15_CDH23,False,False,True,False,False,False
2381,ADM2_RAMP2,True,True,True,False,True,False
2382,ADAM21_IGSF21,True,False,False,False,False,False
2383,RLN3_DRD3,False,False,True,False,False,False
2384,CCL4L1_CCR5,True,False,True,False,True,True
2385,PTPRF_LRFN4,True,False,False,False,False,False
2386,COL5A1_ITGB1,True,True,False,False,True,False
2387,TNFRSF12A_KIR2DL5A,True,False,False,False,False,False
2388,GIP_MC2R,False,False,True,False,False,False
2389,CXCL2_GRM4,False,False,True,False,False,False
2390,CALR_MYLK,False,False,True,False,False,False
2391,GDF1_TGFBR1,True,False,False,False,False,False
2392,TTR_IL7R,False,False,True,False,False,False
2393,VIP_ADCYAP1R1,True,False,True,False,True,True
2394,CORT_TAS2R7,False,False,True,False,False,False
2395,RLN1_HTR7,False,False,True,False,False,False
2396,XCL2_F2RL3,False,False,True,False,False,False
2397,COL26A1_ITGA11,False,True,False,False,False,False
2398,GHRL_HCRTR1,False,False,True,False,False,False
2399,DKK2_WNT16,True,False,False,False,False,False
2400,S100A10_HTR1B,True,False,False,False,True,False
2401,CNTN5_SLAMF1,True,False,False,False,False,False
2402,NRG1_ITGA6,False,True,False,False,False,False
2403,XCL1_GRPR,False,False,True,False,False,False
2404,APLN_GPR18,False,False,True,False,False,False
2405,LHB_GPR27,False,False,True,False,False,False
2406,CALCA_VIPR2,False,False,True,False,False,False
2407,ULBP3_NKG2D_HCST,False,False,False,True,False,False
2408,PYY_TAS2R16,False,False,True,False,False,False
