,ID,community,CPDB,NicheNet,CellChat
150,HDC_HRH1,True,True,True,False
151,VEGFD_ITGB1,True,False,False,False
152,LAMB1_ITGA9,False,False,False,True
153,THY1_ADGRE2,False,False,False,True
154,PROC_ HSP90AA1,False,False,False,True
155,SLURP1_CHRND,False,False,False,True
156, ITGB5_ADGRB1,False,False,False,True
157,CLEC2A_KLRB1,True,False,False,True
158,SEMA5A_PLXNB3,False,True,True,True
159,IL36B_ IL1RL2,False,False,False,True
160,INSL3_CD40,False,True,False,False
161,PTDSS1_JMJD6,True,False,True,False
162,WNT11_FZD2,False,True,False,True
163,INHBB_ACVR2B,True,True,True,False
164,LEFTY2_ACVR1B,True,False,False,False
165,HLA-B_CD3G,True,False,False,False
166,ALDH1A1_RARB,False,True,False,False
167,APOE_ TYROBP,False,False,False,True
168,WNT4_CER1,False,True,False,False
169,WNT9A_FZD8,False,True,False,True
170,EREG_ ERBB4,False,False,False,True
171,CGA_RAMP3,True,False,False,False
172,ADAM17_IL6R,True,False,False,False
173,SHH_HHIP,True,True,True,False
174,WNT7B_SFRP1,False,True,False,False
175,PTH2_GPR84,True,False,False,False
176,PTN_CDH10,True,False,False,False
177,WNT3A_LRP5,False,True,False,True
178,SFRP1_WNT6,False,True,False,False
179,NRTN_GFRA2,True,True,True,True
180,PDGFD_PDGFRB,True,True,True,True
181,RARG_ALDH1A3,False,True,False,False
182, TENM2_ADGRL2,False,False,False,True
183,KLK8_F2R,False,False,False,True
184, IL23A_IL12RB1,False,False,False,True
185,NTN4_DCC,True,False,True,False
186,GAL_GALR2,True,True,True,True
187,WNT7A_SFRP4,False,True,False,False
188,EFNB2_EPHB4,True,True,True,True
189,FBN1_ITGB1,False,True,False,False
190,IL23A_SIGLEC6,True,False,False,False
191,GNAI2_LPAR3,True,False,False,False
192,FTH1_SCARA5,False,True,False,False
193,WNT10A_ LRP6,False,False,False,True
194,HLA-E_CD8A,False,False,False,True
195,WNT3_ROR2,True,False,False,False
196,LAMA1_SDC4,True,False,False,False
197,GDF7_ACVR2A,True,True,True,True
198,NPPA_NPR2,True,True,False,False
199,LAMA5_CD44,False,False,False,True
200,PRSS3_PARD3,False,False,False,True
201,CDH1_CDH2,True,False,False,False
202,HSPG2_COL13A1,True,False,False,False
203,RXRG_ALDH1A3,False,True,False,False
204,HSPA8_LRP2,True,False,False,False
205,NODAL_TDGF1,True,False,False,False
206,MAG_MAG,False,False,True,True
207,BMP4_ ACVR2A,False,False,False,True
208,COL21A1_ITGA10,False,True,False,False
209,RLN3_RAMP3,True,False,False,False
210,ALOX5AP_GPR17,False,True,False,False
211,ADAM2_ITGA6,True,False,True,False
212,CEACAM8_CEACAM1,True,True,False,False
213,EDIL3_ITGB5,True,False,False,False
214,PENK_GRM7,True,False,False,False
215,SEMA7A_ ITGA1,False,False,False,True
216,KREMEN2_LRP6,False,True,False,False
217,CORT_GHSR,True,True,True,False
218,CCL2_CCR10,True,True,False,False
219,IL36G_IL1RL2,True,True,False,False
220,SEMA3G_PLXNA3,False,False,False,True
221,SCT_VIPR2,True,False,True,False
222,CD55_CR1,True,False,False,False
223,NECTIN1_FGFR2,False,True,False,False
224,SFRP1_WNT16,False,True,False,False
225,FN1_ITGA10,False,True,False,False
226,CD99_CD99,False,False,True,True
227,TULP1_MERTK,False,False,False,True
228,CD59_TNFSF15,True,False,False,False
229,SEMA3D_PLXND1,True,False,False,False
230,TENM1_ADGRL3,False,False,False,True
231,SFRP2_WNT11,False,True,False,False
232,IL20_ IL20RB,False,False,False,True
233,SHH_PTCH2,True,True,False,True
