	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
0	A1BG-AS1	False	False	False	7.38479937755627	3	True	False	0.01275043997732606	0.4463821592107971	-0.8935267
1	A1CF	False	False	False	24.5129287853301	3	True	False	0.06184313453556089	0.9906505675776923	0.43456393
2	A2M	True	True	False	440.927119675718	3	True	True	0.42239015111910216	1.8853218265177378	1.2670333
3	A4GALT	False	False	False	26.7575556569422	3	True	False	0.0219331044332409	0.5211281397992025	-0.7111361
4	AAAS	False	False	False	36.3485885706069	3	True	False	0.07635054996243808	0.7435092305296267	-0.1684953
5	AACS	False	False	False	21.2695854504424	3	True	False	0.049546598524705485	0.756012148172013	-0.13798645
6	AAED1	False	False	False	63.8872040283751	3	True	False	0.0815287696694789	0.6886858076948426	-0.30227208
7	AAGAB	False	False	False	31.8676138147168	3	True	False	0.058328294896219525	0.7181928746907316	-0.23027073
8	AAK1	False	False	False	34.2933598932098	3	True	False	0.059584133007313654	0.597624564200693	-0.52447414
9	AAMDC	False	False	False	108.522299067356	3	True	False	0.19420305091551768	0.9525626762962988	0.34162417
10	AAMP	False	False	False	156.864145301706	3	True	False	0.290606193241704	0.8971941232202716	0.2065172
11	AAR2	False	False	False	22.1805567958937	3	True	False	0.040027050289624506	0.8217699790824146	0.022471806
12	AARS	False	False	False	38.6364548168539	3	True	False	0.0836760704434972	0.6141129581792887	-0.4842402
13	AARS2	False	False	False	6.47241127047967	3	True	False	0.01389179650214118	0.8323728364376807	0.04834425
14	AARSD1	False	False	False	28.6511693402626	3	True	False	0.0656360405073651	0.7699016977245388	-0.10409401
15	AASDH	False	False	False	20.0723295288646	3	True	False	0.04560844214672024	0.8757056591902159	0.15408236
16	AASDHPPT	False	False	False	40.8507507073303	3	True	False	0.07287064953357358	0.593091885167725	-0.53553456
17	AASS	False	False	False	3.69941603215591	3	True	False	0.007322600320772451	0.7133322123749224	-0.24213143
18	AATF	False	False	False	73.2486382640689	3	True	False	0.11908607043817179	0.6625949255786071	-0.36593747
19	ABAT	False	False	False	10.1781456736923	3	True	False	0.019622111372703793	0.7890015424049007	-0.057487737
20	ABCA1	True	True	True	33.2695651128997	3	True	False	0.04200319231147151	0.7588742328966456	-0.13100256
21	ABCA10	False	False	False	3.10093084527067	3	True	False	0.009877539054368587	0.6993362510588366	-0.2762835
22	ABCA2	False	False	False	9.91248473250689	3	True	False	0.023342051035268496	0.7974112959956986	-0.036966767
23	ABCA5	False	False	False	36.5376186047488	3	True	False	0.09791213927125945	1.0048362152797308	0.4691789
24	ABCA6	False	False	False	7.98083666378025	3	True	False	0.017023405670532784	0.6596502813888597	-0.3731228
25	ABCA7	False	False	False	10.6055834012693	3	True	False	0.01976856310259747	0.856749594987653	0.10782693
26	ABCA8	False	False	False	54.2044126066536	3	True	True	0.09831626076176843	1.5859702317823765	1.8872267
27	ABCB1	False	False	False	22.5958357284735	3	True	True	0.06346940719952039	1.1528045497924428	0.8302422
28	ABCB10	False	False	False	9.39072018737185	3	True	False	0.018991151880410465	0.6301127472343054	-0.44519848
29	ABCB7	False	False	False	28.6197462719945	3	True	False	0.048991951678293136	0.7622495154528397	-0.122766405
30	ABCB8	False	False	False	29.5523693721283	3	True	False	0.0581072424920398	0.7281315560923332	-0.20601897
31	ABCB9	False	False	False	12.3022982697086	3	True	False	0.041348379521996825	0.8714952812060387	0.14380845
32	ABCC1	False	False	False	12.4672283409563	3	True	False	0.01825387752512079	0.6603157130832625	-0.37149906
33	ABCC10	False	False	False	8.70030626741797	3	True	False	0.0192301540254382	0.7657257634465265	-0.114283875
34	ABCC3	False	False	False	95.741085216337	3	True	True	0.24025609985446933	1.3410699624409026	1.289636
35	ABCC4	False	False	False	18.299304727954	3	True	False	0.02951133405520726	0.581835513198539	-0.56300163
36	ABCC5	False	False	False	21.9852648059326	3	True	False	0.036721103013522	0.7981701907485865	-0.03511496
